date,Open,High,Low,Close
2016-01-04,2.97,2.98,2.77,2.78
2016-01-05,2.7,2.86,2.68,2.83
2016-01-06,2.84,2.96,2.82,2.95
2016-01-07,2.92,2.93,2.7,2.72
2016-01-08,2.82,2.88,2.72,2.84
2016-01-11,2.8,2.88,2.74,2.75
2016-01-12,2.77,2.79,2.72,2.76
2016-01-13,2.76,2.8,2.71,2.71
2016-01-14,2.65,2.74,2.62,2.74
2016-01-15,2.71,2.72,2.58,2.6
2016-01-18,2.54,2.63,2.53,2.59
2016-01-19,2.58,2.66,2.56,2.65
2016-01-20,2.63,2.65,2.59,2.62
2016-01-21,2.59,2.63,2.53,2.54
2016-01-22,2.57,2.58,2.52,2.56
2016-01-25,2.58,2.6,2.56,2.57
2016-01-26,2.55,2.56,2.32,2.34
2016-01-27,2.37,2.38,2.2,2.3
2016-01-28,2.27,2.31,2.21,2.22
2016-01-29,2.2,2.31,2.2,2.28
2016-02-01,2.28,2.29,2.23,2.25
2016-02-02,2.25,2.31,2.24,2.29
2016-02-03,2.27,2.29,2.25,2.28
2016-02-04,2.29,2.32,2.29,2.31
2016-02-05,2.3,2.31,2.29,2.3
2016-02-15,2.25,2.31,2.23,2.3
2016-02-16,2.36,2.53,2.35,2.53
2016-02-17,2.64,2.75,2.59,2.65
2016-02-18,2.63,2.69,2.58,2.61
2016-02-19,2.58,2.63,2.57,2.59
2016-02-22,2.62,2.65,2.6,2.64
2016-02-23,2.64,2.65,2.57,2.6
2016-02-24,2.58,2.62,2.57,2.61
2016-02-25,2.6,2.61,2.36,2.4
2016-02-26,2.42,2.47,2.4,2.44
2016-03-02,2.44,2.55,2.42,2.54
2016-03-03,2.52,2.56,2.51,2.52
2016-03-04,2.51,2.6,2.5,2.54
2016-03-07,2.55,2.59,2.53,2.56
2016-03-08,2.56,2.56,2.48,2.55
2016-03-09,2.5,2.52,2.48,2.49
2016-03-10,2.5,2.52,2.46,2.47
2016-03-11,2.46,2.47,2.42,2.45
2016-03-14,2.47,2.54,2.47,2.52
2016-03-15,2.51,2.52,2.48,2.49
2016-03-16,2.5,2.51,2.47,2.48
2016-03-17,2.49,2.53,2.48,2.52
2016-03-18,2.52,2.58,2.52,2.57
2016-03-21,2.58,2.61,2.56,2.6
2016-03-22,2.58,2.59,2.56,2.56
2016-03-23,2.56,2.57,2.54,2.56
2016-03-24,2.56,2.56,2.52,2.52
2016-03-25,2.51,2.64,2.51,2.6
2016-03-28,2.59,2.61,2.55,2.56
2016-03-29,2.56,2.56,2.5,2.52
2016-03-30,2.53,2.57,2.52,2.57
2016-03-31,2.57,2.58,2.55,2.55
2016-04-01,2.55,2.57,2.52,2.56
2016-04-05,2.56,2.62,2.54,2.6
2016-04-06,2.58,2.59,2.56,2.58
2016-04-07,2.58,2.59,2.54,2.55
2016-04-08,2.53,2.54,2.51,2.53
2016-04-11,2.54,2.58,2.53,2.57
2016-04-12,2.56,2.57,2.53,2.54
2016-04-13,2.55,2.59,2.54,2.57
2016-04-14,2.58,2.59,2.56,2.58
2016-04-15,2.56,2.57,2.54,2.55
2016-04-18,2.54,2.54,2.51,2.52
2016-04-19,2.53,2.54,2.51,2.52
