date,Open,High,Low,Close
2016-01-04,109.89,109.91,109.39,109.5
2016-01-05,109.54,109.55,109.41,109.44
2016-01-06,109.4,109.52,109.4,109.48
2016-01-07,109.47,109.62,109.47,109.59
2016-01-08,109.56,109.86,109.56,109.85
2016-01-11,109.85,109.98,109.85,109.9
2016-01-12,109.94,110.2,109.94,110.19
2016-01-13,110.2,110.35,110.14,110.32
2016-01-14,110.45,110.53,110.07,110.18
2016-01-15,110.19,110.38,110.19,110.29
2016-01-18,110.23,110.3,100.17,110.17
2016-01-19,110.15,110.19,109.7,109.88
2016-01-20,109.89,109.92,109.66,109.84
2016-01-21,109.81,110.15,109.78,110.1
2016-01-22,110.14,110.2,110.04,110.11
2016-01-25,110.07,110.07,109.88,109.97
2016-01-26,109.92,110.07,109.88,110.03
2016-01-27,109.92,110.02,109.81,109.83
2016-01-28,109.83,109.83,109.66,109.76
2016-01-29,109.73,109.88,109.72,109.81
2016-02-01,109.84,109.84,109.8,109.8
2016-02-02,109.81,110.07,109.73,109.79
2016-02-03,109.81,109.92,109.73,109.91
2016-02-04,109.91,109.92,109.82,109.87
2016-02-05,109.91,109.95,109.87,109.9
2016-02-15,109.96,110.11,109.92,110.11
2016-02-16,110.09,110.2,110.01,110.11
2016-02-17,110.1,110.11,110.01,110.11
2016-02-18,110.07,110.1,110.0,110.04
2016-02-19,110.04,110.17,110.03,110.14
2016-02-22,110.14,110.4,110.11,110.14
2016-02-23,110.11,110.21,110.11,110.2
2016-02-24,110.25,110.38,110.16,110.37
2016-02-25,110.38,110.46,110.2,110.28
2016-02-26,110.34,110.38,110.28,110.36
2016-02-29,110.35,110.47,110.35,110.37
2016-03-01,110.38,110.56,110.37,110.53
2016-03-02,110.63,110.7,110.51,110.57
2016-03-03,110.2,110.52,110.2,110.5
2016-03-04,110.49,110.56,100.5,110.44
2016-03-07,110.28,110.47,110.28,110.4
2016-03-08,110.4,110.46,110.4,110.42
2016-03-09,110.43,110.54,110.43,110.5
2016-03-10,110.5,110.65,110.47,110.64
2016-03-11,110.65,111.01,110.65,110.94
2016-03-14,110.9,111.3,110.65,110.67
2016-03-15,110.67,110.73,110.52,110.64
2016-03-16,110.65,110.84,110.64,110.82
2016-03-17,110.83,110.92,110.8,110.82
2016-03-18,110.8,110.86,110.75,110.82
2016-03-21,110.77,110.81,110.65,110.71
2016-03-22,110.72,110.86,110.72,110.83
2016-03-23,110.82,111.01,110.8,110.95
2016-03-24,110.96,111.2,110.95,111.19
2016-03-25,111.22,111.38,111.17,111.32
2016-03-28,111.3,111.99,111.3,111.36
2016-03-29,111.32,111.59,111.32,111.4
2016-03-30,111.4,111.5,111.39,111.46
2016-03-31,111.48,111.55,111.33,111.43
2016-04-01,111.49,111.76,111.43,111.74
2016-04-05,111.74,111.85,111.53,111.58
2016-04-06,111.6,111.64,111.56,111.61
2016-04-07,111.61,111.68,111.51,111.52
2016-04-08,111.5,111.57,111.49,111.52
2016-04-11,111.51,111.55,111.49,111.52
2016-04-12,111.51,111.54,111.48,111.5
2016-04-13,111.45,111.49,111.3,111.31
2016-04-14,111.3,111.37,111.06,111.15
2016-04-15,111.2,111.2,111.08,111.14
2016-04-18,111.14,111.26,111.14,111.21
2016-04-19,111.22,111.28,111.22,111.26
2016-04-20,111.22,111.24,111.09,111.13
2016-04-21,111.0,111.0,110.58,110.65
2016-04-22,110.67,110.7,110.6,110.62
2016-04-25,110.59,110.59,110.02,110.03
2016-04-26,110.03,110.21,110.01,110.2
2016-04-27,110.2,110.35,110.19,110.3
2016-04-28,110.35,110.64,110.35,110.64
2016-04-29,110.64,110.7,110.63,110.69
2016-05-03,110.69,110.75,110.69,110.75
2016-05-04,110.74,110.78,110.7,110.73
2016-05-05,110.74,110.81,110.74,110.8
2016-05-06,110.8,110.8,110.65,110.73
2016-05-09,110.74,110.91,110.74,110.82
2016-05-10,110.88,111.0,110.88,110.98
2016-05-11,110.99,111.06,110.99,111.05
2016-05-12,111.04,111.24,111.02,111.24
2016-05-13,111.1,111.33,111.1,111.3
2016-05-16,111.29,111.42,111.0,111.03
2016-05-17,111.01,111.13,111.01,111.04
2016-05-18,111.04,111.05,110.9,110.93
2016-05-19,110.88,110.91,110.78,110.84
2016-05-20,110.82,110.99,110.82,110.98
2016-05-23,110.84,111.04,110.84,110.89
2016-05-24,110.86,110.91,110.84,110.9
2016-05-25,110.89,110.97,110.87,110.95
2016-05-26,110.94,110.94,110.85,110.88
2016-05-27,110.9,110.93,110.85,110.9
2016-05-30,110.9,110.92,110.81,110.85
2016-05-31,110.81,110.89,110.81,110.89
2016-06-01,110.88,110.92,110.8,110.9
2016-06-02,110.9,110.9,110.73,110.8
2016-06-03,110.73,110.83,110.73,110.76
2016-06-06,110.76,110.79,110.75,110.77
2016-06-07,110.77,110.84,110.76,110.79
2016-06-08,110.78,110.91,110.78,110.9
2016-06-13,110.88,110.94,110.8,110.91
2016-06-14,110.86,111.11,110.84,111.08
2016-06-15,111.04,111.13,111.03,111.09
2016-06-16,111.09,111.18,111.09,111.18
2016-06-17,111.13,111.26,111.11,111.22
2016-06-20,111.19,111.2,110.96,111.12
2016-06-21,111.12,111.2,111.04,111.14
2016-06-22,111.18,111.24,111.18,111.2
2016-06-23,111.21,111.27,111.21,111.26
2016-06-24,111.27,111.47,111.27,111.42
2016-06-27,111.41,111.67,111.41,111.65
2016-06-28,111.67,111.78,111.63,111.63
2016-06-29,111.6,111.6,111.4,111.55
2016-06-30,111.53,111.58,111.4,111.56
2016-07-01,111.56,111.9,111.56,111.85
2016-07-04,111.92,111.92,111.84,111.85
2016-07-05,111.83,111.88,111.83,111.86
2016-07-06,111.86,112.22,111.84,111.99
2016-07-07,112.01,112.21,111.95,112.1
2016-07-08,112.17,112.21,111.99,112.0
2016-07-11,112.0,112.01,111.9,111.96
2016-07-12,111.95,111.99,111.85,111.92
2016-07-13,111.89,111.91,111.85,111.86
2016-07-14,111.86,111.91,111.85,111.89
2016-07-15,111.89,112.03,111.89,112.03
2016-07-18,111.98,112.08,111.98,112.05
2016-07-19,112.05,112.15,112.05,112.13
2016-07-20,112.15,112.23,112.15,112.2
2016-07-21,112.33,112.33,112.2,112.26
2016-07-22,112.31,112.31,112.2,112.24
2016-07-25,112.21,112.3,112.21,112.23
2016-07-26,112.23,112.3,112.23,112.3
2016-07-27,112.32,112.32,112.28,112.32
2016-07-28,112.3,112.39,112.26,112.35
2016-07-29,112.4,112.42,112.32,112.42
2016-08-01,112.4,112.65,112.4,112.65
2016-08-02,112.6,112.78,112.6,112.62
2016-08-03,112.62,112.68,112.42,112.63
2016-08-04,112.66,112.67,112.55,112.57
2016-08-05,112.55,112.74,112.55,112.72
2016-08-08,112.78,112.9,112.74,112.79
2016-08-09,112.79,112.97,112.79,112.97
2016-08-10,113.0,113.6,113.0,113.13
2016-08-11,113.16,113.2,113.0,113.06
2016-08-12,113.06,113.11,112.95,113.04
2016-08-15,113.03,113.11,112.78,112.87
2016-08-16,112.98,113.04,112.86,113.02
2016-08-17,113.0,113.09,112.99,113.04
2016-08-18,113.05,113.05,112.96,112.98
2016-08-19,113.02,113.02,112.84,112.85
2016-08-22,112.84,112.97,112.8,112.95
2016-08-23,112.97,112.97,112.48,112.89
2016-08-24,112.89,112.94,112.65,112.68
2016-08-25,112.72,112.72,112.63,112.68
2016-08-26,112.72,112.82,112.69,112.81
2016-08-29,112.81,112.89,112.77,112.85
2016-08-30,112.84,112.87,112.72,112.79
2016-08-31,112.81,112.86,112.59,112.8
2016-09-01,112.8,112.85,112.61,112.66
2016-09-02,112.71,112.71,112.62,112.65
2016-09-05,112.69,112.7,112.64,112.67
2016-09-06,112.68,112.68,112.51,112.52
2016-09-07,112.53,112.58,112.51,112.56
2016-09-08,112.55,112.61,112.55,112.6
2016-09-09,112.58,112.77,112.58,112.77
2016-09-12,112.69,112.69,112.26,112.63
2016-09-13,112.63,112.7,112.58,112.68
2016-09-14,112.72,112.87,112.69,112.78
2016-09-19,112.84,112.84,112.77,112.81
2016-09-20,112.83,112.9,112.81,112.87
2016-09-21,112.91,112.93,112.81,112.85
2016-09-22,112.88,112.88,112.81,112.85
2016-09-23,112.86,112.89,112.82,112.87
2016-09-26,112.88,112.93,112.87,112.9
2016-09-27,112.9,112.96,112.9,112.92
2016-09-28,112.92,112.99,112.92,112.99
2016-09-29,112.95,113.56,112.95,113.09
2016-09-30,113.19,113.28,113.11,113.16
2016-10-10,113.14,113.2,113.12,113.18
2016-10-11,113.18,113.3,113.16,113.2
2016-10-12,113.23,113.25,113.14,113.2
2016-10-13,113.19,113.27,113.17,113.23
2016-10-14,113.24,113.33,113.23,113.32
2016-10-17,113.44,113.44,113.36,113.42
2016-10-18,113.44,113.44,113.4,113.43
2016-10-19,113.42,113.52,113.42,113.47
2016-10-20,113.56,113.65,113.53,113.61
2016-10-21,113.67,113.78,113.61,113.76
2016-10-24,113.94,114.0,113.73,113.76
2016-10-25,113.78,113.79,113.64,113.65
2016-10-26,113.63,113.66,113.43,113.49
2016-10-27,113.51,113.63,113.13,113.33
2016-10-28,113.36,113.54,113.36,113.52
2016-10-31,113.52,113.53,113.33,113.46
2016-11-01,113.5,113.76,113.44,113.5
2016-11-02,113.54,113.54,113.35,113.41
2016-11-03,113.42,113.49,113.41,113.48
2016-11-04,113.48,113.65,113.47,113.61
2016-11-07,113.59,113.66,113.42,113.49
2016-11-08,113.49,113.52,113.13,113.49
2016-11-09,113.48,113.56,113.41,113.52
2016-11-10,113.52,113.52,113.42,113.45
2016-11-11,113.36,113.48,113.36,113.47
2016-11-14,113.44,113.5,113.05,113.18
2016-11-15,113.01,113.1,112.87,112.91
2016-11-16,112.91,113.04,112.88,112.92
2016-11-17,112.92,112.92,112.62,112.73
2016-11-18,112.72,112.73,112.5,112.5
2016-11-21,112.53,112.59,112.47,112.57
2016-11-22,112.57,112.73,112.57,112.69
2016-11-23,112.72,113.01,112.7,112.76
2016-11-24,112.76,112.76,112.51,112.55
2016-11-25,112.52,112.62,112.22,112.3
2016-11-28,112.28,112.5,112.27,112.32
2016-11-29,112.31,112.44,111.6,111.7
2016-11-30,111.79,111.94,111.61,111.69
2016-12-01,111.7,111.76,111.66,111.68
2016-12-02,111.68,111.9,111.68,111.7
2016-12-05,111.73,111.78,111.65,111.66
