date,Open,High,Low,Close
2016-01-04,64.4,64.4,58.4,58.76
2016-01-05,55.8,60.61,55.8,59.35
2016-01-06,59.5,60.78,59.37,60.42
2016-01-07,59.0,59.47,55.0,55.41
2016-01-08,58.0,60.68,56.7,59.43
2016-01-11,57.99,60.99,57.2,57.88
2016-01-12,58.75,60.18,57.95,59.82
2016-01-13,60.48,61.3,57.36,57.36
2016-01-14,56.5,59.98,56.3,59.9
2016-01-15,59.01,59.8,57.02,58.05
2016-01-18,57.01,58.6,56.52,57.68
2016-01-19,57.5,59.1,56.98,58.87
2016-01-20,59.0,59.7,57.1,57.74
2016-01-21,57.1,58.3,56.0,56.02
2016-01-22,56.2,56.85,53.4,55.16
2016-01-25,55.7,56.0,54.25,55.0
2016-01-26,54.17,54.89,49.5,49.97
2016-01-27,50.48,50.68,45.01,48.18
2016-01-28,47.0,48.2,45.07,45.3
2016-01-29,45.2,48.4,45.2,47.59
2016-02-01,47.85,49.58,47.3,48.6
2016-02-02,48.61,50.79,48.6,50.46
2016-02-03,50.39,50.68,49.73,50.41
2016-02-04,51.0,52.3,50.71,51.21
2016-02-05,51.5,51.9,50.01,50.07
2016-02-15,48.19,50.47,47.9,50.0
2016-02-16,50.25,52.63,50.25,52.08
2016-02-17,52.2,54.98,52.2,53.81
2016-02-18,54.61,54.76,53.1,53.25
2016-02-19,53.9,55.25,53.5,54.29
2016-02-22,55.2,55.5,54.01,54.51
2016-02-23,54.76,55.71,54.05,54.7
2016-02-24,54.23,55.25,53.02,55.02
2016-02-25,56.03,56.65,51.15,51.8
2016-02-26,52.81,53.09,51.22,52.35
2016-02-29,53.1,53.3,49.0,50.51
2016-03-01,50.54,51.88,50.08,51.54
2016-03-02,51.09,54.21,51.09,53.9
2016-03-03,54.0,54.92,53.55,53.58
2016-03-04,53.41,55.0,52.75,53.7
2016-03-07,54.53,54.99,53.62,53.95
2016-03-08,54.0,54.0,51.55,53.11
2016-03-09,52.12,52.7,51.8,52.0
2016-03-10,52.0,52.45,51.25,51.5
2016-03-11,51.4,52.1,50.62,51.26
2016-03-14,52.1,54.0,51.62,53.33
2016-03-15,53.2,55.49,53.2,54.44
2016-03-16,54.62,54.75,52.9,53.0
2016-03-17,53.68,55.3,53.28,55.06
2016-03-18,55.06,57.39,55.06,56.95
2016-03-21,57.66,57.86,56.02,57.03
2016-03-22,56.9,58.2,56.1,57.71
2016-03-23,57.2,57.98,56.68,57.3
2016-03-24,56.9,58.39,56.1,56.48
2016-03-25,56.48,57.61,56.1,56.96
2016-03-28,57.57,59.86,57.2,58.05
2016-03-29,58.3,59.38,56.86,56.87
2016-03-30,57.15,58.92,57.15,58.8
2016-03-31,58.83,59.77,58.38,58.81
2016-04-01,58.79,58.8,57.26,58.3
2016-04-05,59.18,60.23,58.53,58.97
2016-04-06,58.54,58.95,57.9,58.35
2016-04-07,58.48,58.66,56.69,57.05
2016-04-08,56.6,57.95,56.57,57.7
2016-04-11,57.7,58.83,57.41,57.83
2016-04-12,57.75,58.4,56.8,57.9
2016-04-13,58.6,59.33,58.43,58.59
2016-04-14,58.8,59.08,58.33,58.75
2016-04-15,58.59,58.89,57.6,58.24
2016-04-18,58.27,60.18,57.66,60.02
2016-04-19,59.76,65.5,59.66,62.44
2016-04-20,62.0,62.31,58.05,60.21
2016-04-21,60.01,63.8,59.77,62.13
2016-04-22,61.27,62.99,60.67,61.9
2016-04-25,61.91,62.0,60.0,60.75
2016-04-26,60.5,62.96,60.5,62.03
2016-04-27,62.5,63.29,62.03,62.33
2016-04-28,62.57,62.79,60.51,61.89
2016-04-29,62.2,64.61,62.2,63.71
2016-05-03,63.8,64.32,62.77,64.3
2016-05-04,63.93,64.69,63.37,63.55
2016-05-05,63.51,63.55,62.6,63.47
2016-05-06,63.01,63.47,61.0,61.2
2016-05-09,60.11,60.8,58.25,59.0
2016-05-10,59.0,59.49,58.43,58.7
2016-05-11,59.0,59.38,57.82,58.31
2016-05-12,58.03,59.97,57.41,59.51
2016-05-13,59.46,60.38,58.85,59.17
2016-05-16,59.33,60.58,59.03,60.56
2016-05-17,60.56,61.0,59.66,60.34
2016-05-18,59.79,59.79,58.11,58.56
2016-05-19,58.92,59.48,58.44,58.57
2016-05-20,58.3,59.17,57.99,59.1
2016-05-23,59.2,60.21,59.2,59.43
2016-05-24,59.55,60.16,59.03,59.23
2016-05-25,59.76,60.0,59.01,59.12
2016-05-26,59.39,59.72,57.6,58.77
2016-05-27,58.6,58.69,57.6,57.79
2016-05-30,57.81,58.36,57.38,57.92
2016-05-31,57.95,59.95,57.95,59.8
2016-06-01,59.89,60.2,59.56,59.74
2016-06-02,59.84,60.13,59.0,59.92
2016-06-03,59.98,60.44,59.94,60.0
2016-06-06,60.45,60.92,59.78,60.15
2016-06-07,60.26,61.98,60.01,61.26
2016-06-08,61.27,61.38,60.0,60.35
2016-06-13,59.53,60.0,57.43,57.44
2016-06-14,57.06,57.86,56.82,57.06
2016-06-15,56.52,59.89,56.52,59.14
2016-06-16,58.73,60.98,58.07,59.42
2016-06-17,59.48,60.34,58.85,59.21
2016-06-20,59.51,60.16,59.28,59.6
2016-06-21,59.95,60.6,59.21,59.39
2016-06-22,60.42,61.8,60.15,60.92
2016-06-23,60.36,60.99,59.77,60.03
2016-06-24,59.99,60.49,57.3,59.11
2016-06-27,59.0,59.94,58.86,59.67
2016-06-28,59.3,60.4,58.87,60.3
2016-06-29,60.04,60.5,59.76,60.4
2016-06-30,60.45,61.48,60.03,61.01
2016-07-01,60.98,62.05,60.46,61.39
2016-07-04,61.25,61.93,60.62,61.45
2016-07-05,61.4,61.56,60.21,60.8
2016-07-06,60.77,61.2,60.38,60.82
2016-07-07,60.8,62.53,60.6,61.93
2016-07-08,62.17,63.09,61.83,62.19
2016-07-11,62.59,62.91,61.15,61.23
2016-07-12,60.98,61.47,60.18,61.07
2016-07-13,61.0,61.12,60.45,60.93
2016-07-14,60.73,61.36,60.47,61.2
2016-07-15,61.69,64.18,61.46,62.99
2016-07-18,63.35,63.88,62.46,62.65
2016-07-19,62.76,62.96,62.18,62.8
2016-07-20,62.81,63.3,62.5,62.5
2016-07-21,62.65,62.85,61.81,61.94
2016-07-22,62.65,62.8,61.0,61.49
2016-07-25,61.5,61.98,60.31,60.52
2016-07-26,60.9,61.35,60.59,61.17
2016-07-27,61.14,61.14,58.53,59.39
2016-07-28,59.5,60.32,59.01,59.72
2016-07-29,59.75,60.25,59.19,59.35
2016-08-01,59.36,59.77,58.7,58.9
2016-08-02,58.6,59.09,58.55,58.97
2016-08-03,58.96,59.08,58.64,58.84
2016-08-04,58.87,59.17,58.7,59.08
2016-08-05,59.09,59.5,58.72,58.77
2016-08-08,58.83,58.98,58.07,58.91
2016-08-09,58.95,59.19,58.55,59.15
2016-08-10,59.16,59.47,58.76,58.86
2016-08-11,58.88,59.39,58.59,58.6
2016-08-12,59.0,59.75,58.7,59.27
2016-08-15,59.49,60.6,59.0,60.07
2016-08-16,60.2,60.35,59.8,59.92
2016-08-17,60.0,61.2,60.0,60.72
2016-08-18,60.7,60.7,59.94,60.06
2016-08-19,60.0,60.18,59.65,59.86
2016-08-22,59.89,60.1,58.63,58.68
2016-08-23,58.96,59.06,58.56,58.91
2016-08-24,59.0,59.17,58.78,59.08
