date,Open,High,Low,Close
2016-01-04,19.29,19.29,17.42,17.45
2016-01-05,16.8,17.98,16.63,17.65
2016-01-06,17.55,18.15,17.2,17.93
2016-01-07,17.48,17.6,16.2,16.34
2016-01-08,16.84,17.44,16.0,16.83
2016-01-11,16.3,16.48,15.51,15.68
2016-01-12,15.92,16.34,15.7,15.89
2016-01-13,16.06,16.3,15.75,15.89
2016-01-14,15.5,16.37,15.28,16.29
2016-01-15,16.08,16.2,15.29,15.55
2016-01-18,15.15,15.95,15.15,15.65
2016-01-19,15.67,16.29,15.51,16.12
2016-01-20,16.1,16.25,15.7,15.82
2016-01-21,15.75,16.11,15.01,15.1
2016-01-22,15.34,15.47,14.83,15.28
2016-01-25,15.34,15.55,15.17,15.35
2016-01-26,15.1,15.25,13.82,13.93
2016-01-27,14.06,14.15,13.45,13.94
2016-01-28,13.8,14.28,13.6,13.7
2016-01-29,13.79,14.68,13.62,14.5
2016-02-01,14.35,14.5,14.01,14.23
2016-02-02,14.21,14.76,14.09,14.6
2016-02-03,14.42,14.56,14.17,14.47
2016-02-04,14.6,14.88,14.49,14.63
2016-02-05,14.31,14.5,14.14,14.18
2016-02-15,13.79,14.08,13.71,13.98
2016-02-16,14.16,14.95,14.16,14.83
2016-02-17,14.7,15.06,14.66,15.01
2016-02-18,15.16,15.52,14.92,14.95
2016-02-19,14.88,15.21,14.85,15.1
2016-02-22,15.4,15.86,15.11,15.58
2016-02-23,15.56,15.56,15.05,15.24
2016-02-24,15.19,15.46,14.93,15.42
2016-02-25,15.39,15.4,14.0,14.16
2016-02-26,14.32,14.59,14.04,14.39
2016-02-29,14.29,14.35,13.6,14.28
2016-03-01,14.4,15.71,14.3,15.33
2016-03-02,15.38,16.25,15.28,16.12
2016-03-03,15.9,16.1,15.68,15.92
2016-03-04,15.78,16.16,15.56,16.0
2016-03-07,16.18,16.32,15.9,15.98
2016-03-08,15.98,16.18,15.4,16.16
2016-03-09,15.8,16.04,15.66,16.0
2016-03-10,15.87,15.99,15.5,15.53
2016-03-11,15.3,16.16,15.28,15.95
2016-03-14,16.0,16.65,15.91,16.17
2016-03-15,16.05,16.15,15.81,16.01
2016-03-16,15.95,16.26,15.95,16.09
2016-03-17,16.18,16.87,16.09,16.62
2016-03-18,16.7,17.37,16.62,16.95
2016-03-21,17.5,18.65,17.41,18.65
2016-03-22,18.15,18.5,17.78,17.99
2016-03-23,17.9,18.48,17.72,18.35
2016-03-24,18.0,18.0,17.39,17.41
2016-03-25,17.41,17.66,17.21,17.49
2016-03-28,17.47,17.69,17.06,17.07
2016-03-29,17.08,17.35,16.9,17.13
2016-03-30,17.35,17.83,17.35,17.68
2016-03-31,17.79,18.21,17.6,17.8
2016-04-01,17.7,17.88,17.26,17.7
2016-04-05,17.58,18.28,17.51,17.93
2016-04-06,17.78,18.03,17.6,17.8
2016-04-07,17.9,17.96,17.3,17.33
2016-04-08,17.07,17.15,16.8,16.94
2016-04-11,17.7,17.9,17.37,17.39
2016-04-12,17.3,17.49,17.2,17.34
2016-04-13,17.65,18.28,17.65,17.85
2016-04-14,17.94,18.08,17.77,18.0
2016-04-15,17.92,18.01,17.65,17.9
2016-04-18,17.65,17.73,17.3,17.36
2016-04-19,17.51,17.59,17.23,17.44
2016-04-20,17.39,17.48,16.3,17.22
2016-04-21,16.92,17.23,16.86,16.89
2016-04-22,16.8,17.06,16.73,17.04
2016-04-25,17.05,17.06,16.66,16.76
2016-04-26,16.73,16.98,16.58,16.87
2016-04-27,16.75,16.88,16.55,16.61
2016-04-28,16.65,16.76,16.3,16.51
2016-04-29,16.43,16.6,16.39,16.44
2016-05-03,16.36,16.98,16.35,16.82
2016-05-04,16.72,16.85,16.63,16.71
2016-05-05,16.67,16.76,16.57,16.73
2016-05-06,16.72,16.78,16.08,16.1
2016-05-09,16.0,16.0,15.49,15.65
2016-05-10,15.57,15.75,15.49,15.6
2016-05-11,15.66,15.72,15.51,15.57
2016-05-12,15.45,15.67,15.16,15.6
2016-05-13,15.55,15.7,15.34,15.41
2016-05-16,15.31,15.6,15.22,15.57
2016-05-17,15.58,15.75,15.36,15.57
2016-05-18,15.43,15.65,15.26,15.59
2016-05-19,15.5,15.68,15.46,15.53
2016-05-20,15.43,15.72,15.35,15.69
2016-05-23,15.69,15.93,15.6,15.73
2016-05-24,15.69,15.7,15.51,15.52
2016-05-25,15.65,15.82,15.54,15.55
2016-05-26,15.54,15.66,15.34,15.57
2016-05-27,15.57,15.65,15.42,15.52
2016-05-30,15.45,15.71,15.3,15.67
2016-05-31,15.68,16.83,15.68,16.79
2016-06-01,16.79,16.94,16.56,16.57
2016-06-02,16.57,16.71,16.42,16.6
2016-06-03,16.64,16.88,16.48,16.62
2016-06-06,16.65,16.7,16.42,16.46
2016-06-07,16.51,16.64,16.43,16.49
2016-06-08,16.48,16.53,16.31,16.39
2016-06-13,16.2,16.25,15.55,15.61
2016-06-14,15.58,15.79,15.48,15.7
2016-06-15,15.4,16.14,15.37,15.92
2016-06-16,15.8,15.86,15.56,15.64
2016-06-17,15.67,16.0,15.62,15.67
2016-06-20,15.71,15.75,15.5,15.66
2016-06-21,15.75,16.5,15.75,15.84
2016-06-22,15.75,16.12,15.7,16.06
2016-06-23,16.09,16.09,15.73,15.96
2016-06-24,15.91,16.15,15.41,15.69
2016-06-27,15.66,15.96,15.61,15.94
2016-06-28,15.8,16.35,15.78,16.19
2016-06-29,16.26,16.37,16.1,16.16
2016-06-30,16.27,16.4,16.17,16.23
2016-07-01,16.3,16.36,16.11,16.13
2016-07-04,16.03,16.88,16.01,16.6
2016-07-05,16.55,16.73,16.5,16.58
2016-07-06,16.55,16.65,16.34,16.55
2016-07-07,16.56,16.72,16.38,16.6
2016-07-08,16.58,16.78,16.54,16.59
2016-07-11,16.63,16.85,16.53,16.55
2016-07-12,16.54,16.95,16.49,16.93
2016-07-13,17.03,17.3,16.82,16.94
2016-07-14,16.9,17.04,16.86,16.96
2016-07-15,17.02,17.05,16.72,16.82
2016-07-18,16.7,16.7,16.46,16.52
2016-07-19,16.54,16.64,16.41,16.6
2016-07-20,16.6,16.67,16.54,16.56
2016-07-21,16.57,16.87,16.56,16.7
2016-07-22,16.7,16.76,16.59,16.62
2016-07-25,16.61,16.72,16.49,16.57
2016-07-26,16.55,16.85,16.53,16.82
2016-07-27,16.82,16.85,16.11,16.65
2016-07-28,16.49,16.5,16.18,16.31
2016-07-29,16.33,16.39,16.19,16.22
2016-08-01,16.26,16.28,16.0,16.15
2016-08-02,16.15,16.23,16.1,16.21
2016-08-03,16.15,16.22,16.11,16.15
2016-08-04,16.15,16.25,16.03,16.21
2016-08-05,16.19,16.4,16.12,16.24
2016-08-08,16.24,16.35,16.1,16.34
2016-08-09,16.33,16.46,16.29,16.43
2016-08-10,16.4,16.47,16.32,16.34
2016-08-11,16.34,16.77,16.31,16.53
2016-08-12,16.54,17.17,16.51,17.15
2016-08-15,17.19,18.72,17.08,18.01
2016-08-16,17.9,18.08,17.57,17.67
2016-08-17,17.7,17.94,17.45,17.61
2016-08-18,17.55,17.74,17.3,17.47
2016-08-19,17.0,17.03,16.76,16.94
2016-08-22,16.89,17.05,16.73,16.77
2016-08-23,16.78,16.95,16.7,16.81
2016-08-24,16.81,16.87,16.68,16.71
2016-08-25,16.71,16.84,16.58,16.8
2016-08-26,16.76,16.86,16.7,16.73
2016-08-29,16.75,16.76,16.62,16.71
2016-08-30,16.74,16.91,16.69,16.83
2016-08-31,16.8,16.99,16.74,16.9
2016-09-01,16.86,16.89,16.65,16.67
2016-09-02,16.66,16.94,16.61,16.8
2016-09-05,16.84,16.98,16.76,16.81
2016-09-06,16.78,16.88,16.58,16.84
2016-09-07,16.81,16.88,16.75,16.8
2016-09-08,16.77,16.77,16.68,16.73
2016-09-09,16.72,16.86,16.7,16.72
2016-09-12,16.39,16.49,16.17,16.46
2016-09-13,16.4,16.44,16.19,16.33
2016-09-14,16.25,16.3,16.11,16.19
2016-09-19,16.2,16.28,16.17,16.23
2016-09-20,16.23,16.24,16.1,16.2
2016-09-21,16.22,16.3,16.14,16.22
2016-09-22,16.36,16.42,16.27,16.29
