date,Open,High,Low,Close
2016-01-04,59.79,60.0,55.08,55.84
2016-01-05,55.1,58.09,54.11,55.36
2016-01-06,56.7,56.9,55.85,56.49
2016-01-07,54.17,56.01,51.0,51.97
2016-01-08,53.52,54.1,51.13,53.53
2016-01-11,53.34,55.9,52.0,52.28
2016-01-12,52.4,53.94,52.0,53.07
2016-01-13,52.81,53.63,51.23,51.29
2016-01-14,50.0,52.8,49.2,52.54
2016-01-15,51.77,51.99,49.5,50.59
2016-01-18,49.65,51.09,48.78,50.31
2016-01-19,50.28,52.0,49.5,51.75
2016-01-20,51.6,51.6,50.01,50.29
2016-01-21,49.83,50.68,49.12,49.52
2016-01-22,49.9,50.38,48.5,49.79
2016-01-25,49.98,50.66,49.62,50.49
2016-01-26,50.08,50.29,46.01,46.71
2016-01-27,47.0,47.0,43.21,44.2
2016-01-28,43.95,44.85,43.18,43.71
2016-01-29,43.4,47.26,43.4,46.0
2016-02-01,46.8,47.68,45.66,45.78
2016-02-02,46.22,46.78,45.75,46.45
2016-02-03,46.2,47.97,46.01,47.59
2016-02-04,47.59,48.76,47.26,47.81
2016-02-05,47.4,47.8,46.22,46.44
2016-02-15,45.0,45.81,44.82,45.47
2016-02-16,45.68,46.64,45.5,46.6
2016-02-17,46.5,46.69,44.73,45.67
2016-02-18,46.18,46.28,44.5,44.76
2016-02-19,44.7,45.0,44.1,44.42
2016-02-22,45.1,45.99,44.65,45.98
2016-02-23,46.4,46.44,45.03,45.5
2016-02-24,47.3,48.88,46.97,47.65
2016-02-25,47.0,47.04,43.1,43.75
2016-02-26,44.65,44.9,43.4,44.46
2016-02-29,44.2,44.2,41.0,41.56
2016-03-01,41.78,42.48,41.28,42.19
2016-03-02,42.24,43.7,41.8,43.62
2016-03-03,43.7,43.76,42.92,42.93
2016-03-04,42.9,42.9,41.5,41.83
2016-03-07,42.08,43.07,41.9,43.03
2016-03-08,43.2,43.2,41.51,42.89
2016-03-09,42.08,42.73,41.68,42.39
2016-03-10,42.38,42.54,41.85,41.93
2016-03-11,41.72,41.97,41.3,41.56
2016-03-14,41.9,42.78,41.62,42.5
2016-03-15,42.68,44.3,41.89,44.07
2016-03-16,43.52,43.94,42.94,43.14
2016-03-17,43.06,43.97,43.0,43.77
2016-03-18,43.53,44.85,43.53,44.54
2016-03-21,44.9,45.83,44.63,45.02
2016-03-22,44.77,44.78,44.29,44.69
2016-03-23,44.35,44.68,43.6,44.42
2016-03-24,46.5,47.68,45.02,45.09
2016-03-25,45.06,45.6,44.42,44.72
2016-03-28,44.74,46.5,44.72,45.92
2016-03-29,45.47,45.89,44.7,44.78
2016-03-30,45.2,46.02,44.99,45.94
2016-03-31,46.18,46.18,45.63,45.65
2016-04-01,45.9,45.9,44.75,45.14
2016-04-05,45.35,46.06,44.78,45.7
