date,Open,High,Low,Close
2016-01-04,3.78,3.78,3.53,3.54
2016-01-05,3.47,3.58,3.43,3.53
2016-01-06,3.52,3.59,3.52,3.58
2016-01-07,3.54,3.54,3.4,3.48
2016-01-08,3.48,3.48,3.29,3.41
2016-01-11,3.34,3.39,3.23,3.23
2016-01-12,3.26,3.3,3.22,3.26
2016-01-13,3.28,3.3,3.19,3.21
2016-01-14,3.14,3.27,3.13,3.26
2016-01-15,3.24,3.26,3.15,3.17
2016-01-18,3.13,3.21,3.12,3.17
2016-01-19,3.17,3.28,3.16,3.26
2016-01-20,3.2,3.22,3.14,3.17
2016-01-21,3.14,3.2,3.07,3.08
2016-01-22,3.11,3.13,3.05,3.11
2016-01-25,3.14,3.15,3.09,3.12
2016-01-26,3.08,3.1,2.93,2.94
2016-01-27,2.95,2.98,2.84,2.91
2016-01-28,2.9,2.93,2.84,2.85
2016-01-29,2.85,2.96,2.85,2.93
2016-02-01,2.93,2.94,2.86,2.9
2016-02-02,2.89,2.97,2.89,2.96
2016-02-03,2.93,2.95,2.9,2.95
2016-02-04,2.96,2.99,2.95,2.98
2016-02-05,2.98,2.98,2.95,2.95
2016-02-15,2.9,2.95,2.88,2.94
2016-02-16,2.95,3.03,2.95,3.02
2016-02-17,3.02,3.06,3.02,3.05
2016-02-18,3.08,3.09,3.04,3.05
2016-02-19,3.05,3.07,3.02,3.04
2016-02-22,3.09,3.12,3.06,3.1
2016-02-23,3.1,3.11,3.05,3.08
2016-02-24,3.07,3.11,3.04,3.1
2016-02-25,3.1,3.1,2.88,2.9
2016-02-26,2.93,2.96,2.9,2.93
2016-02-29,2.92,2.93,2.81,2.86
2016-03-01,2.87,2.94,2.81,2.92
2016-03-02,2.92,3.06,2.92,3.05
2016-03-03,3.05,3.09,3.03,3.04
2016-03-04,3.04,3.1,3.02,3.08
2016-03-07,3.09,3.18,3.07,3.1
2016-03-08,3.09,3.1,3.0,3.09
2016-03-09,3.04,3.05,3.01,3.05
2016-03-10,3.04,3.07,3.0,3.0
2016-03-11,2.98,3.02,2.96,3.0
2016-03-14,3.03,3.1,3.03,3.06
2016-03-15,3.06,3.06,3.02,3.05
2016-03-16,3.04,3.1,3.04,3.07
2016-03-17,3.08,3.15,3.06,3.12
2016-03-18,3.12,3.2,3.12,3.17
2016-03-21,3.19,3.26,3.19,3.24
2016-03-22,3.22,3.24,3.21,3.22
2016-03-23,3.21,3.24,3.19,3.22
2016-03-24,3.2,3.21,3.17,3.17
2016-03-25,3.17,3.2,3.16,3.18
2016-03-28,3.2,3.23,3.15,3.16
2016-03-29,3.16,3.17,3.11,3.13
2016-03-30,3.15,3.22,3.15,3.22
2016-03-31,3.22,3.23,3.19,3.21
2016-04-01,3.2,3.22,3.15,3.22
2016-04-05,3.2,3.27,3.2,3.25
2016-04-06,3.24,3.26,3.23,3.24
2016-04-07,3.25,3.26,3.2,3.2
2016-04-08,3.18,3.2,3.15,3.18
2016-04-11,3.2,3.25,3.2,3.21
2016-04-12,3.21,3.22,3.19,3.21
2016-04-13,3.23,3.29,3.23,3.25
2016-04-14,3.26,3.28,3.24,3.26
2016-04-15,3.27,3.27,3.25,3.26
2016-04-18,3.24,3.24,3.21,3.22
2016-04-19,3.23,3.24,3.21,3.22
2016-04-20,3.24,3.24,3.09,3.17
2016-04-21,3.15,3.2,3.14,3.15
2016-04-22,3.14,3.17,3.13,3.16
2016-04-25,3.16,3.16,3.11,3.16
2016-04-26,3.15,3.18,3.14,3.17
2016-04-27,3.17,3.18,3.15,3.16
2016-04-28,3.16,3.17,3.13,3.16
2016-04-29,3.15,3.17,3.14,3.15
2016-05-03,3.16,3.22,3.14,3.21
2016-05-04,3.2,3.22,3.19,3.2
2016-05-05,3.2,3.21,3.19,3.2
2016-05-06,3.2,3.21,3.13,3.13
2016-05-09,3.12,3.12,3.05,3.06
2016-05-10,3.06,3.08,3.05,3.06
2016-05-11,3.07,3.1,3.06,3.07
2016-05-12,3.06,3.09,3.03,3.08
2016-05-13,3.07,3.1,3.06,3.07
2016-05-16,3.07,3.09,3.04,3.08
2016-05-17,3.09,3.1,3.06,3.08
2016-05-18,3.07,3.07,3.03,3.06
2016-05-19,3.06,3.08,3.05,3.05
2016-05-20,3.05,3.08,3.04,3.07
2016-05-23,3.08,3.1,3.07,3.08
2016-05-24,3.08,3.08,3.05,3.06
2016-05-25,3.07,3.09,3.05,3.06
2016-05-26,3.06,3.07,3.03,3.06
2016-05-27,3.06,3.07,3.05,3.06
2016-05-30,3.06,3.07,3.03,3.06
2016-05-31,3.06,3.17,3.06,3.17
2016-06-01,3.17,3.18,3.15,3.16
2016-06-02,3.16,3.16,3.14,3.16
2016-06-03,3.16,3.21,3.16,3.2
2016-06-06,3.19,3.2,3.17,3.18
2016-06-07,3.18,3.18,3.17,3.18
2016-06-08,3.17,3.18,3.15,3.17
2016-06-13,3.15,3.15,3.07,3.07
2016-06-14,3.06,3.08,3.06,3.08
2016-06-15,3.06,3.15,3.05,3.12
2016-06-16,3.12,3.12,3.1,3.1
2016-06-17,3.11,3.14,3.1,3.12
2016-06-20,3.12,3.13,3.1,3.12
2016-06-21,3.13,3.17,3.1,3.11
2016-06-22,3.11,3.13,3.1,3.13
2016-06-23,3.13,3.13,3.1,3.12
2016-06-24,3.12,3.14,3.04,3.09
2016-06-27,3.08,3.13,3.08,3.13
2016-06-28,3.12,3.14,3.1,3.14
2016-06-29,3.14,3.17,3.14,3.16
2016-06-30,3.16,3.17,3.15,3.16
2016-07-01,3.16,3.18,3.16,3.16
2016-07-04,3.15,3.22,3.14,3.21
2016-07-05,3.21,3.23,3.21,3.22
2016-07-06,3.22,3.24,3.21,3.24
2016-07-07,3.23,3.25,3.22,3.24
2016-07-08,3.23,3.24,3.22,3.23
2016-07-11,3.23,3.28,3.23,3.24
2016-07-12,3.23,3.32,3.23,3.32
2016-07-13,3.32,3.35,3.32,3.32
2016-07-14,3.32,3.32,3.31,3.32
2016-07-15,3.33,3.33,3.31,3.32
2016-07-18,3.32,3.32,3.3,3.31
2016-07-19,3.31,3.31,3.28,3.29
2016-07-20,3.29,3.3,3.28,3.29
2016-07-21,3.29,3.32,3.29,3.3
2016-07-22,3.3,3.3,3.27,3.28
2016-07-25,3.27,3.3,3.27,3.28
2016-07-26,3.28,3.32,3.28,3.32
2016-07-27,3.32,3.32,3.21,3.26
2016-07-28,3.24,3.28,3.24,3.26
2016-07-29,3.26,3.27,3.24,3.25
2016-08-01,3.24,3.25,3.21,3.23
2016-08-02,3.23,3.25,3.22,3.24
2016-08-03,3.23,3.25,3.22,3.24
2016-08-04,3.24,3.25,3.22,3.25
2016-08-05,3.25,3.28,3.24,3.26
2016-08-08,3.26,3.29,3.24,3.29
2016-08-09,3.28,3.31,3.28,3.3
2016-08-10,3.3,3.31,3.29,3.29
2016-08-11,3.29,3.33,3.29,3.29
2016-08-12,3.28,3.35,3.28,3.35
2016-08-15,3.36,3.48,3.35,3.45
2016-08-16,3.46,3.48,3.43,3.44
2016-08-17,3.43,3.45,3.42,3.43
2016-08-18,3.44,3.45,3.41,3.42
2016-08-19,3.42,3.43,3.39,3.42
2016-08-22,3.42,3.43,3.39,3.4
2016-08-23,3.4,3.42,3.38,3.4
2016-08-24,3.4,3.4,3.38,3.38
2016-08-25,3.37,3.38,3.34,3.37
2016-08-26,3.37,3.39,3.36,3.36
2016-08-29,3.36,3.37,3.35,3.36
2016-08-30,3.36,3.39,3.36,3.38
2016-08-31,3.37,3.4,3.36,3.39
2016-09-01,3.39,3.39,3.35,3.35
2016-09-02,3.35,3.38,3.35,3.37
2016-09-05,3.38,3.4,3.37,3.38
2016-09-06,3.38,3.41,3.35,3.4
2016-09-07,3.41,3.42,3.4,3.41
2016-09-08,3.4,3.41,3.39,3.4
2016-09-09,3.4,3.41,3.38,3.38
2016-09-12,3.34,3.34,3.3,3.32
2016-09-13,3.32,3.33,3.31,3.32
2016-09-14,3.31,3.31,3.29,3.3
2016-09-19,3.3,3.32,3.3,3.32
2016-09-20,3.32,3.32,3.31,3.31
2016-09-21,3.31,3.33,3.31,3.33
2016-09-22,3.34,3.36,3.34,3.35
2016-09-23,3.35,3.36,3.34,3.34
2016-09-26,3.34,3.34,3.28,3.28
2016-09-27,3.28,3.3,3.28,3.3
2016-09-28,3.3,3.3,3.29,3.3
2016-09-29,3.3,3.32,3.3,3.31
2016-09-30,3.3,3.33,3.3,3.32
2016-10-10,3.33,3.37,3.32,3.36
2016-10-11,3.36,3.37,3.35,3.37
2016-10-12,3.36,3.36,3.35,3.36
2016-10-13,3.36,3.37,3.35,3.36
2016-10-14,3.36,3.37,3.34,3.37
2016-10-17,3.37,3.37,3.31,3.34
2016-10-18,3.34,3.38,3.34,3.38
2016-10-19,3.38,3.4,3.37,3.38
2016-10-20,3.38,3.38,3.37,3.37
2016-10-21,3.38,3.4,3.37,3.39
2016-10-24,3.39,3.45,3.39,3.43
2016-10-25,3.43,3.43,3.42,3.42
