date,Open,High,Low,Close
2016-01-04,51.58,51.9,46.83,46.83
2016-01-05,43.0,45.42,42.2,44.29
2016-01-06,44.76,46.39,42.72,45.55
2016-01-07,43.88,43.88,41.0,41.0
2016-01-08,41.6,43.1,38.68,41.4
2016-01-11,39.8,43.35,39.45,39.9
2016-01-12,41.1,42.92,40.21,41.66
2016-01-13,41.78,41.9,39.44,39.49
2016-01-14,38.1,43.44,37.56,42.95
2016-01-15,42.3,42.46,40.51,41.27
2016-01-18,41.1,44.18,41.1,42.93
2016-01-19,43.1,45.1,42.25,44.49
2016-01-20,43.08,43.92,41.99,42.66
2016-01-21,41.9,43.47,40.74,40.77
2016-01-22,41.36,41.65,39.21,41.2
2016-01-25,41.1,41.55,40.4,40.73
2016-01-26,40.3,40.47,36.81,37.11
2016-01-27,37.11,38.72,35.77,38.28
2016-01-28,37.63,37.89,36.34,36.68
2016-01-29,36.58,39.15,36.5,38.55
2016-02-01,38.38,38.38,36.88,37.62
2016-02-02,37.95,40.5,37.75,39.45
2016-02-03,38.55,39.88,38.33,39.41
2016-02-04,39.65,41.2,39.6,40.15
2016-02-05,39.8,40.44,38.99,39.0
2016-02-15,37.25,39.11,37.25,38.62
2016-02-16,39.1,42.48,39.02,41.71
2016-02-17,41.3,41.85,40.83,41.59
2016-02-18,42.12,43.42,41.31,41.43
2016-02-19,41.18,42.5,41.01,41.83
2016-02-22,42.35,42.65,41.26,42.52
2016-02-23,42.58,42.58,40.81,41.4
2016-02-24,41.15,41.79,39.95,41.09
2016-02-25,40.81,40.9,36.98,36.98
2016-02-26,37.22,37.62,36.0,36.87
2016-02-29,36.45,36.45,33.18,33.18
2016-03-01,33.18,35.54,32.35,34.5
2016-03-02,34.29,36.75,33.8,36.26
2016-03-03,36.25,37.58,36.0,36.15
2016-03-04,35.69,36.11,33.49,34.2
2016-03-07,35.04,36.86,34.91,35.28
2016-03-08,34.88,36.83,33.3,36.5
2016-03-09,35.59,36.35,35.19,35.42
2016-03-10,35.41,36.0,34.02,34.45
2016-03-11,33.75,34.99,33.5,34.7
2016-03-14,35.4,37.64,35.08,36.59
2016-03-15,36.5,36.8,35.66,35.76
2016-03-16,36.7,36.8,34.81,35.31
2016-03-17,35.51,38.84,35.4,38.84
2016-03-18,39.19,42.72,38.85,42.72
2016-03-21,44.8,46.77,43.9,45.01
2016-03-22,43.49,44.5,43.04,43.83
2016-03-23,43.71,47.0,43.53,46.6
2016-03-24,45.2,47.3,44.5,44.55
2016-03-25,44.0,44.7,42.8,43.76
2016-03-28,44.11,44.48,42.71,43.04
2016-03-29,42.81,43.99,41.88,42.79
2016-03-30,43.4,45.5,43.13,44.97
2016-03-31,44.8,45.3,44.18,44.3
2016-04-01,44.0,44.07,42.19,43.0
2016-04-05,43.0,45.8,42.59,44.74
2016-04-06,44.3,44.49,43.65,44.2
2016-04-07,44.46,44.53,42.8,42.8
2016-04-08,42.33,43.3,41.66,42.5
2016-04-11,43.79,44.4,43.25,43.29
