date,Open,High,Low,Close
2016-01-04,22.36,22.47,20.2,20.26
2016-01-05,19.9,21.25,19.8,20.85
2016-01-06,20.97,21.1,20.51,21.02
2016-01-07,20.7,20.7,19.49,19.58
2016-01-08,20.22,20.71,19.11,20.25
2016-01-11,19.9,20.45,19.3,19.39
2016-01-12,19.65,19.87,19.22,19.55
2016-01-13,19.7,19.86,19.2,19.3
2016-01-14,18.8,19.7,18.62,19.55
2016-01-15,19.24,19.63,18.6,18.8
2016-01-18,18.51,19.05,18.5,18.85
2016-01-19,18.8,19.86,18.76,19.66
2016-01-20,19.6,19.73,19.01,19.28
2016-01-21,19.02,19.4,18.71,18.71
2016-01-22,18.91,19.3,18.7,19.09
2016-01-25,19.24,19.46,19.05,19.23
2016-01-26,19.08,19.16,18.42,18.6
2016-01-27,18.76,18.92,17.93,18.48
2016-01-28,18.32,18.76,18.21,18.31
2016-01-29,18.4,18.9,18.26,18.73
2016-02-01,18.76,18.81,18.3,18.44
2016-02-02,18.49,19.08,18.49,18.96
2016-02-03,18.83,18.97,18.66,18.84
2016-02-04,18.96,19.29,18.86,19.0
2016-02-05,18.99,19.09,18.84,18.85
2016-02-15,18.45,18.83,18.37,18.64
2016-02-16,18.9,19.19,18.8,19.07
2016-02-17,19.09,19.31,19.02,19.2
2016-02-18,19.31,19.38,19.1,19.22
2016-02-19,19.19,19.28,19.1,19.22
2016-09-02,19.49,19.49,19.49,19.49
2016-09-05,21.44,21.44,21.44,21.44
2016-09-06,23.58,23.58,22.69,23.0
2016-09-07,22.9,23.45,22.57,22.86
2016-09-08,22.9,23.06,22.21,22.48
2016-09-09,22.41,22.64,22.16,22.26
2016-09-12,22.0,22.54,21.85,22.07
2016-09-14,21.9,21.96,21.4,21.43
2016-09-19,21.42,22.23,21.41,22.09
2016-09-20,22.1,22.36,21.93,22.02
2016-09-21,22.06,22.1,21.76,22.0
2016-09-22,22.12,22.15,21.75,21.75
2016-09-23,21.79,21.86,21.39,21.44
2016-09-26,21.42,21.89,21.4,21.51
2016-09-27,21.55,22.1,21.52,22.03
2016-09-28,22.03,22.09,21.8,21.9
2016-09-29,21.92,22.07,21.83,21.84
2016-09-30,21.85,22.29,21.81,22.22
2016-10-10,22.26,22.32,21.69,22.11
2016-10-11,22.08,22.22,21.91,22.11
2016-10-12,22.09,22.46,21.96,22.2
2016-10-13,22.23,22.31,21.96,22.07
2016-10-14,22.0,22.08,21.87,21.96
2016-10-17,21.97,22.04,21.7,21.74
2016-10-18,21.7,21.89,21.68,21.88
2016-10-19,21.89,22.05,21.74,21.78
2016-10-20,21.78,21.88,21.73,21.82
2016-10-21,21.82,22.48,21.75,22.44
2016-10-24,22.48,22.97,22.48,22.55
2016-10-25,22.61,23.2,22.58,23.03
2016-10-26,23.02,23.02,22.5,22.63
2016-10-27,22.71,22.76,22.35,22.42
2016-10-28,22.47,22.87,22.34,22.4
2016-11-17,22.0,23.55,22.0,22.84
2016-11-18,22.7,22.82,22.19,22.52
2016-11-21,22.48,23.7,22.4,22.8
2016-11-22,22.79,23.78,22.66,23.23
2016-11-23,23.8,25.55,23.75,25.55
2016-11-24,25.33,27.0,24.92,26.38
2016-11-25,26.43,27.3,25.26,27.23
2016-11-28,27.23,29.39,27.1,28.47
2016-12-01,30.0,31.32,29.88,30.59
2016-12-02,30.0,30.15,28.63,28.76
2016-12-05,26.66,27.0,25.88,25.88
2016-12-06,25.73,27.29,25.4,26.33
2016-12-07,26.01,26.45,25.7,26.19
2016-12-08,26.17,26.76,25.89,26.24
2016-12-09,26.24,27.17,26.16,26.99
2016-12-12,26.21,26.29,25.04,25.34
2016-12-13,25.48,25.9,24.73,25.54
2016-12-14,25.7,25.87,25.1,25.3
2016-12-15,25.31,25.55,24.5,24.75
2016-12-16,24.7,25.2,24.35,24.99
2016-12-19,25.0,25.03,24.1,24.16
2016-12-20,24.03,24.35,23.68,24.0
2016-12-21,24.11,24.24,23.92,24.2
2016-12-22,24.29,24.89,24.23,24.66
2016-12-23,24.47,24.5,24.03,24.09
2016-12-26,23.9,24.64,23.68,24.62
2016-12-27,24.56,25.31,24.5,24.97
2016-12-28,25.09,25.26,24.8,24.94
2016-12-29,24.86,25.05,24.61,24.83
2016-12-30,24.89,25.05,24.62,24.62
2017-01-03,24.7,25.24,24.7,25.06
2017-01-04,25.09,25.23,24.88,25.14
2017-01-05,25.19,25.38,25.09,25.26
2017-01-06,25.2,25.21,24.85,25.0
2017-01-09,25.0,25.0,24.5,24.74
2017-01-10,24.74,24.97,24.51,24.93
2017-01-11,24.86,25.08,24.58,24.68
2017-01-12,24.62,24.73,24.27,24.31
2017-01-13,24.37,24.45,24.14,24.16
2017-01-16,24.16,24.16,23.31,23.79
2017-01-17,23.79,24.19,23.69,24.17
2017-01-18,24.26,25.15,24.26,24.96
2017-01-19,25.0,25.15,24.77,24.88
2017-01-20,24.89,25.55,24.89,25.37
2017-01-23,25.51,25.84,25.21,25.28
2017-01-24,25.27,25.43,25.1,25.32
2017-01-25,25.25,25.5,25.13,25.5
2017-01-26,25.5,25.94,25.5,25.78
2017-02-03,25.7,25.77,25.3,25.39
2017-02-06,25.38,25.54,25.15,25.26
2017-02-07,25.23,25.23,24.99,25.13
2017-02-08,25.17,25.45,25.09,25.35
2017-02-09,25.4,25.8,25.4,25.62
2017-02-10,25.7,26.18,25.61,25.97
2017-02-13,25.97,27.13,25.94,27.1
2017-02-14,27.3,27.74,26.77,26.9
2017-02-15,26.9,27.35,26.75,26.99
2017-02-16,26.91,27.59,26.82,27.59
2017-02-17,27.7,27.9,27.18,27.41
2017-02-20,27.46,28.66,27.45,28.55
2017-02-21,28.48,28.63,28.06,28.24
2017-02-22,28.1,28.5,27.9,28.32
2017-02-23,28.31,28.59,27.8,27.91
2017-02-24,27.97,28.14,27.23,27.85
2017-02-27,27.8,27.8,27.1,27.13
2017-02-28,27.09,27.57,27.09,27.44
2017-03-01,27.5,27.75,27.31,27.46
2017-03-02,27.5,27.63,27.23,27.31
2017-03-03,27.28,27.42,27.05,27.3
2017-03-06,27.31,28.25,27.31,28.15
2017-03-07,28.2,28.36,28.05,28.23
2017-03-08,28.27,28.48,27.85,28.09
2017-03-09,28.23,28.88,28.23,28.4
2017-03-10,28.51,29.04,28.3,28.96
2017-03-13,29.0,29.46,28.6,28.87
2017-03-14,28.88,28.96,28.48,28.71
2017-03-15,28.74,29.55,28.6,29.3
2017-03-16,29.39,29.8,29.06,29.23
2017-03-17,29.22,29.48,28.8,28.81
2017-03-20,29.08,29.45,28.89,29.26
2017-03-21,29.4,30.35,29.23,30.34
2017-03-22,30.13,30.69,30.01,30.5
2017-03-23,30.38,31.26,30.18,31.2
2017-03-24,31.36,32.68,31.29,31.54
2017-03-27,31.51,32.21,30.68,30.71
2017-03-28,30.75,31.16,30.25,30.8
2017-03-29,30.79,31.39,30.48,31.2
2017-03-30,31.08,31.36,30.1,30.72
2017-03-31,30.64,31.7,30.54,31.69
2017-04-05,31.75,31.94,31.26,31.46
2017-04-06,31.39,32.0,31.18,32.0
2017-04-07,31.93,32.6,31.75,31.81
2017-04-10,31.81,31.94,31.41,31.54
2017-04-11,31.41,31.59,29.72,30.83
2017-04-12,30.5,31.09,30.2,30.81
2017-04-13,30.79,31.36,30.64,31.25
2017-04-14,31.24,31.25,30.67,30.68
2017-04-17,30.8,31.75,30.76,31.75
2017-04-18,31.8,32.53,31.65,32.23
2017-04-19,32.2,33.21,32.03,33.21
2017-04-20,33.23,34.18,33.0,33.02
2017-04-21,32.85,33.36,32.57,32.91
2017-04-24,32.8,33.3,32.01,32.51
2017-04-25,32.61,33.88,32.57,33.84
2017-04-26,34.0,34.99,33.28,33.43
2017-04-27,33.66,33.8,32.75,33.58
2017-04-28,33.66,33.7,32.51,33.0
2017-05-02,32.7,33.09,32.26,32.97
2017-05-03,32.98,33.28,32.51,32.65
2017-05-04,32.66,32.92,32.43,32.66
2017-05-05,32.49,33.06,32.36,32.77
2017-05-08,32.6,33.0,31.66,31.68
2017-05-09,31.55,31.55,30.56,31.16
2017-05-10,31.45,31.97,31.3,31.48
2017-05-11,31.3,32.9,31.17,32.88
2017-05-12,32.97,33.14,32.57,33.07
2017-05-15,33.07,33.3,32.78,33.03
2017-05-16,32.8,33.58,32.51,33.58
2017-05-17,33.42,33.95,32.88,32.92
2017-05-18,32.7,32.97,32.51,32.64
2017-05-19,32.73,33.37,32.72,33.1
2017-05-22,33.15,33.88,32.81,33.82
2017-05-23,33.8,34.18,33.62,33.99
2017-05-24,33.74,34.0,33.2,33.75
2017-05-25,33.5,33.99,33.41,33.59
2017-05-26,33.68,34.3,33.65,34.07
2017-05-31,34.14,34.2,33.45,34.08
2017-06-01,33.92,34.28,33.85,33.97
2017-06-02,34.03,34.08,33.3,33.5
2017-06-05,33.37,33.7,33.2,33.27
2017-06-06,33.27,34.3,33.27,34.26
2017-06-07,34.35,35.0,34.16,34.6
2017-06-08,34.7,36.34,34.68,36.25
2017-06-09,36.25,37.1,35.86,36.04
2017-06-12,36.0,37.57,35.9,37.57
2017-06-13,37.15,37.48,36.96,37.35
2017-06-14,37.37,37.8,36.16,36.43
2017-06-15,36.49,36.94,36.0,36.54
2017-06-16,36.44,36.85,35.92,35.99
2017-06-19,36.11,37.34,36.06,37.31
2017-06-20,37.7,37.85,36.93,37.31
2017-06-21,37.6,38.61,37.13,38.54
2017-06-22,38.54,39.67,38.39,38.62
2017-06-23,38.55,40.08,38.2,40.01
2017-06-26,40.01,41.56,39.81,40.64
2017-06-27,40.77,41.5,40.3,41.43
2017-06-28,41.29,41.56,40.11,40.36
2017-06-29,40.66,40.8,39.95,40.5
2017-06-30,40.46,41.56,40.16,41.17
2017-07-03,41.3,41.55,40.09,40.49
2017-07-04,40.5,40.55,38.88,39.87
2017-07-05,38.11,39.3,37.2,39.26
2017-07-06,39.4,39.6,38.66,39.2
2017-07-07,38.9,39.09,38.21,38.41
2017-07-10,38.5,39.37,38.46,39.06
2017-07-11,39.3,41.65,39.18,41.53
2017-07-12,41.53,41.75,40.43,40.79
2017-07-13,40.77,41.38,40.46,41.01
2017-07-14,40.82,41.33,40.4,41.08
2017-07-17,41.08,41.69,40.4,41.06
2017-07-18,40.6,41.02,39.71,40.23
2017-07-19,40.0,40.85,39.75,39.99
2017-07-20,39.99,41.3,39.75,41.04
2017-07-21,41.0,41.21,40.53,40.71
2017-07-24,40.7,41.79,40.36,41.3
2017-07-25,41.29,41.55,40.93,41.02
2017-07-26,41.04,41.2,39.7,40.0
2017-07-27,39.9,39.9,38.55,38.9
2017-07-28,39.33,39.79,39.0,39.57
2017-07-31,39.63,39.63,38.97,39.24
2017-08-01,39.18,39.93,38.98,39.26
2017-08-02,39.26,39.56,38.88,39.02
2017-08-03,39.0,39.0,37.95,38.33
2017-08-04,38.33,38.68,37.65,37.79
2017-08-07,37.79,38.6,36.83,38.43
2017-08-08,38.35,38.86,38.15,38.49
2017-08-09,38.49,39.5,38.2,39.18
2017-08-10,39.18,39.6,38.5,38.82
2017-08-11,38.35,39.01,38.0,38.16
2017-08-14,38.2,39.25,38.2,38.83
2017-08-15,38.86,38.99,38.38,38.58
2017-08-16,38.48,38.55,37.66,37.92
2017-08-17,38.01,38.33,37.6,38.08
2017-08-18,37.89,38.43,37.74,38.27
2017-08-21,38.32,39.0,38.12,38.9
2017-08-22,39.11,39.62,38.91,39.06
2017-08-23,39.1,39.26,38.92,39.2
2017-08-24,39.21,39.5,39.1,39.43
2017-08-25,39.62,40.15,39.5,39.65
2017-08-28,40.04,40.5,39.5,39.82
2017-08-29,39.91,39.94,39.0,39.38
2017-08-30,39.49,39.61,39.12,39.58
2017-08-31,40.12,40.35,38.12,38.65
2017-09-01,38.67,38.67,37.92,38.11
2017-09-04,38.08,38.32,37.8,38.08
2017-09-05,38.08,38.33,37.9,38.13
2017-09-06,38.13,38.25,37.93,38.19
2017-09-07,38.05,38.12,37.65,37.8
2017-09-08,37.7,37.8,37.01,37.09
2017-09-11,37.02,37.52,36.78,37.11
2017-09-12,37.1,37.1,36.42,36.7
2017-09-13,36.7,37.48,36.56,37.33
2017-09-14,37.33,37.65,37.03,37.5
2017-09-15,37.49,38.09,37.23,37.94
2017-09-19,38.0,38.38,37.24,37.29
2017-09-20,37.4,37.98,37.3,37.83
2017-09-21,37.96,38.15,37.78,37.99
2017-09-22,37.9,39.63,37.86,39.25
2017-09-25,39.2,39.52,38.68,38.93
2017-09-26,38.91,39.13,38.2,38.4
2017-09-27,38.48,38.79,38.13,38.55
2017-09-28,38.55,38.62,37.87,37.9
2017-09-29,37.94,38.25,37.8,37.9
2017-10-09,38.5,39.58,38.02,39.1
2017-10-10,39.28,39.54,38.15,38.79
2017-10-11,38.69,40.21,38.52,39.95
2017-10-12,39.98,40.59,39.83,40.42
2017-10-13,40.45,40.64,39.85,40.27
2017-10-16,40.27,40.6,39.5,39.5
2017-10-17,39.76,40.68,39.39,40.68
2017-10-18,40.7,41.2,40.4,41.19
2017-10-19,40.99,41.55,40.57,41.06
2017-10-20,40.92,40.92,40.04,40.5
2017-10-23,40.5,40.9,40.09,40.63
2017-10-24,40.33,41.45,40.27,41.27
2017-10-25,41.2,41.95,41.1,41.81
2017-10-26,42.01,43.6,41.7,42.57
2017-10-27,42.7,43.8,42.61,43.77
2017-10-30,43.9,44.3,42.7,43.75
2017-10-31,43.8,43.8,42.24,42.55
2017-11-01,42.6,43.08,41.59,41.8
2017-11-02,41.82,42.27,41.35,42.26
2017-11-03,42.27,42.58,41.6,41.83
2017-11-06,41.86,43.72,41.79,43.53
2017-11-07,43.6,45.0,43.4,44.19
2017-11-08,44.17,45.0,43.32,43.53
2017-11-09,43.55,43.81,42.59,43.74
2017-11-10,43.72,45.74,43.66,45.67
2017-11-13,45.95,46.46,45.36,45.64
2017-11-14,45.47,45.5,44.38,44.86
2017-11-15,44.68,45.66,44.42,45.46
2017-11-16,45.1,45.86,44.5,45.86
2017-11-17,45.69,46.3,44.98,45.95
2017-11-20,45.5,45.94,44.7,45.82
2017-11-21,45.81,47.8,45.7,47.8
2017-11-22,47.86,48.19,46.95,47.36
2017-11-23,47.01,47.15,44.6,45.01
2017-11-24,44.6,45.54,43.5,45.51
2017-11-27,44.95,44.95,43.64,44.04
2017-11-28,43.7,44.39,43.51,44.0
2017-11-29,44.15,44.28,42.21,42.45
2017-11-30,42.5,42.94,42.07,42.45
2017-12-01,42.52,42.7,41.5,41.63
2017-12-04,41.5,42.51,41.33,42.16
2017-12-05,41.81,42.95,41.77,42.5
2017-12-06,42.4,42.71,41.05,41.95
2017-12-07,41.78,42.05,40.7,40.8
2017-12-08,40.89,42.14,40.89,41.69
2017-12-11,42.3,43.59,42.12,43.44
2017-12-12,43.6,44.17,43.0,43.02
2017-12-13,43.18,44.1,43.01,43.95
2017-12-14,44.0,44.17,43.3,43.72
2017-12-15,43.71,43.71,43.06,43.11
2017-12-18,43.05,44.06,42.88,43.95
2017-12-19,43.75,44.93,43.7,44.58
2017-12-20,44.53,45.32,44.19,44.48
2017-12-21,44.61,45.21,44.32,45.06
2017-12-22,45.0,45.39,44.6,45.07
2017-12-25,45.1,46.0,45.1,45.41
2017-12-26,45.6,45.62,44.29,44.66
2017-12-27,44.73,44.78,43.11,43.18
2017-12-28,43.35,44.28,43.13,43.74
2017-12-29,43.9,44.4,43.44,43.7
2018-01-02,44.2,45.2,44.18,45.15
2018-01-03,45.3,46.46,45.2,45.65
2018-01-04,46.0,46.58,45.73,46.58
2018-01-05,46.8,47.95,46.31,47.88
2018-01-08,48.17,48.95,47.3,47.83
2018-01-09,47.72,49.48,47.59,49.4
2018-01-10,49.3,51.96,48.97,51.05
2018-01-11,50.81,52.11,50.22,50.8
2018-01-12,50.8,53.48,50.24,53.3
2018-01-15,53.19,55.15,52.99,54.6
2018-01-16,54.1,55.48,53.41,54.37
2018-01-17,53.98,54.96,51.65,52.04
2018-01-18,51.7,53.09,51.6,52.26
2018-01-19,52.09,52.76,51.13,51.45
2018-01-22,51.5,56.6,51.5,56.6
2018-01-23,56.5,56.9,55.45,56.79
2018-01-24,56.7,56.72,55.18,55.77
2018-01-25,55.45,56.37,54.3,55.4
2018-01-26,55.01,58.7,54.77,57.4
2018-01-29,57.0,58.07,55.0,55.78
2018-01-30,55.34,55.5,54.25,54.35
2018-01-31,54.0,56.56,53.88,55.94
