date,Open,High,Low,Close
2016-01-04,49.1,49.1,47.08,47.2
2016-01-05,46.5,48.0,46.45,47.56
2016-01-06,47.56,48.88,47.4,48.52
2016-01-07,48.25,48.25,45.65,46.19
2016-01-08,47.3,47.99,46.0,47.65
2016-01-11,47.65,47.97,45.52,45.55
2016-01-12,45.99,46.26,43.9,45.04
2016-01-13,45.1,45.8,43.9,43.94
2016-01-14,43.11,44.88,42.5,44.32
2016-01-15,44.18,44.48,42.68,43.02
2016-01-18,42.99,43.55,41.99,43.38
2016-01-19,43.24,44.5,42.8,44.33
2016-01-20,44.43,44.64,43.52,44.32
2016-01-21,43.9,44.5,42.85,42.89
2016-01-22,43.29,43.49,42.98,43.32
2016-01-25,43.18,44.59,43.18,43.97
2016-01-26,43.89,44.8,42.31,42.91
2016-01-27,42.7,43.66,41.73,43.35
2016-01-28,43.01,44.04,42.53,42.57
2016-01-29,42.7,44.39,42.65,44.0
2016-02-01,43.96,45.25,43.72,44.67
2016-02-02,44.88,45.4,44.6,44.94
2016-02-03,44.61,46.4,44.39,46.0
2016-02-04,45.82,46.26,45.2,45.78
2016-02-05,45.79,45.9,44.85,45.26
2016-02-15,44.8,46.0,44.5,45.36
2016-02-16,45.6,46.19,45.36,46.06
2016-02-17,46.0,46.29,44.53,45.52
2016-02-18,45.45,45.63,44.75,44.91
2016-02-19,45.0,45.6,44.84,45.53
2016-02-22,46.28,46.86,45.82,46.25
2016-02-23,46.12,46.71,45.73,46.69
2016-02-24,46.7,47.37,46.49,46.95
2016-02-25,46.98,46.99,45.15,45.66
2016-02-26,45.71,46.35,45.5,46.0
2016-02-29,45.99,45.99,43.95,44.97
2016-03-01,44.69,45.2,44.06,44.74
2016-03-02,44.6,46.0,44.6,45.88
2016-03-03,45.72,46.77,45.7,46.7
2016-03-04,46.5,48.29,46.11,47.47
2016-03-07,47.3,47.9,47.06,47.71
2016-03-08,47.36,47.68,46.3,47.66
2016-03-09,47.03,48.36,46.35,48.17
2016-03-10,47.9,48.15,46.61,46.64
2016-03-11,46.6,46.84,45.75,46.57
2016-03-14,46.76,47.52,46.52,46.78
2016-03-15,46.58,48.45,46.16,47.94
2016-03-16,47.52,48.6,47.17,48.11
2016-03-17,48.11,48.68,47.75,48.4
