date,Open,High,Low,Close
2016-01-04,34.51,34.57,31.14,31.24
2016-01-05,30.6,32.46,30.21,32.42
2016-01-06,32.39,32.88,32.02,32.53
2016-01-07,31.99,31.99,29.8,30.01
2016-01-08,31.01,31.52,29.7,30.96
2016-01-11,30.59,31.27,29.0,29.25
2016-01-12,29.68,29.81,28.81,28.93
2016-01-13,29.3,29.43,28.3,28.51
2016-01-14,27.99,29.37,27.7,29.36
2016-01-15,29.31,29.31,27.8,28.29
2016-01-18,27.71,28.63,27.6,28.26
2016-01-19,27.5,28.58,26.3,28.56
2016-01-20,27.99,28.32,27.15,27.2
2016-01-21,26.75,27.15,26.0,26.01
2016-01-22,26.5,26.5,25.35,25.97
2016-01-25,26.2,26.58,26.05,26.32
2016-01-26,26.05,26.05,24.06,24.2
2016-01-27,24.6,25.3,23.72,24.98
2016-01-28,24.71,24.98,24.31,24.47
2016-01-29,24.46,26.85,24.46,26.55
2016-02-01,26.39,26.83,26.0,26.29
2016-02-02,26.41,27.39,26.2,27.06
2016-02-03,26.8,27.14,26.6,26.84
2016-02-04,26.91,27.65,26.91,27.17
2016-02-05,27.31,27.4,26.9,26.92
2016-02-15,25.86,27.16,25.86,27.07
2016-02-16,27.16,27.92,27.16,27.7
2016-02-17,27.51,27.77,27.27,27.72
2016-02-18,28.32,28.48,26.6,26.69
2016-02-19,26.48,26.6,26.02,26.25
2016-02-22,26.79,28.3,26.56,27.99
2016-02-23,27.99,28.2,27.37,27.61
2016-02-24,28.57,29.97,28.55,28.9
2016-02-25,29.0,29.0,26.94,27.5
2016-02-26,27.99,28.84,27.6,28.59
2016-02-29,28.25,28.25,27.1,27.74
2016-03-01,27.74,28.96,27.51,28.78
2016-03-02,29.19,29.87,28.76,29.78
2016-03-03,29.67,29.76,29.14,29.22
2016-03-04,29.25,30.25,29.15,29.99
2016-03-07,30.02,31.27,29.65,29.89
2016-03-08,29.9,29.93,28.53,29.65
2016-03-09,29.05,29.6,28.81,29.06
2016-03-10,29.08,29.58,28.62,28.66
2016-03-11,28.41,29.02,28.27,28.7
2016-03-14,29.08,29.91,29.03,29.42
2016-03-15,29.59,30.45,29.48,29.61
2016-03-16,29.72,29.9,29.08,29.21
2016-03-17,29.59,30.19,29.3,30.0
2016-03-18,30.22,31.17,30.2,30.89
2016-03-21,31.07,32.41,31.07,32.4
2016-03-22,32.2,32.24,31.61,31.77
2016-03-23,32.41,32.61,31.5,31.89
2016-03-24,31.51,31.58,30.87,31.04
2016-03-25,30.98,31.3,30.32,30.64
2016-03-28,30.86,31.56,30.26,30.58
2016-03-29,30.54,30.54,29.71,29.85
2016-03-30,30.2,31.16,30.17,31.1
2016-03-31,31.31,31.73,30.76,30.82
2016-04-01,30.82,31.1,30.36,30.5
2016-04-05,30.5,31.43,30.5,31.4
2016-04-06,31.1,31.45,30.94,31.36
2016-04-07,31.37,31.48,30.68,30.7
2016-04-08,30.51,30.93,30.3,30.66
2016-04-11,30.8,31.39,30.8,31.02
2016-04-12,31.07,31.15,30.38,30.4
2016-04-13,30.7,31.31,30.5,31.13
2016-04-14,31.38,31.45,30.93,31.19
2016-04-15,31.2,31.43,31.0,31.4
2016-04-18,31.22,31.22,30.67,30.9
2016-04-19,30.89,31.09,30.61,30.7
2016-04-20,30.82,30.92,29.29,30.21
2016-04-21,29.5,30.59,29.48,30.45
2016-04-22,30.45,31.3,30.26,31.17
2016-04-25,31.24,31.37,30.38,31.21
2016-04-26,31.02,31.3,30.55,30.91
2016-04-27,30.92,31.18,30.61,30.66
2016-04-28,30.69,30.74,30.0,30.35
2016-04-29,30.25,30.69,30.12,30.47
2016-05-03,30.49,31.69,30.49,31.38
2016-05-04,31.34,31.88,31.25,31.62
2016-05-05,31.53,32.25,31.52,32.13
2016-05-06,32.11,32.13,30.91,30.95
