date,Open,High,Low,Close
2016-01-04,4.58,4.59,4.44,4.45
2016-01-05,4.42,4.51,4.38,4.47
2016-01-06,4.45,4.52,4.45,4.51
2016-01-07,4.49,4.5,4.42,4.43
2016-01-08,4.44,4.49,4.4,4.46
2016-01-11,4.43,4.43,4.31,4.32
2016-01-12,4.36,4.38,4.31,4.32
2016-01-13,4.35,4.35,4.29,4.3
2016-01-14,4.26,4.31,4.21,4.31
2016-01-15,4.29,4.3,4.21,4.23
2016-01-18,4.19,4.25,4.17,4.19
2016-01-19,4.19,4.27,4.18,4.25
2016-01-20,4.25,4.25,4.17,4.22
2016-01-21,4.2,4.26,4.18,4.18
2016-01-22,4.21,4.22,4.18,4.22
2016-01-25,4.22,4.25,4.2,4.23
2016-01-26,4.21,4.22,4.05,4.08
2016-01-27,4.09,4.15,4.06,4.11
2016-01-28,4.1,4.1,4.02,4.05
2016-01-29,4.04,4.12,4.03,4.1
2016-02-01,4.09,4.09,4.0,4.03
2016-02-02,4.02,4.07,4.0,4.05
2016-02-03,4.02,4.03,3.97,4.01
2016-02-04,4.02,4.04,4.0,4.02
2016-02-05,4.02,4.03,4.0,4.01
2016-02-15,3.94,3.99,3.93,3.97
2016-02-16,3.98,4.06,3.98,4.05
2016-02-17,4.04,4.06,4.02,4.04
2016-02-18,4.05,4.07,4.04,4.06
2016-02-19,4.04,4.05,4.01,4.02
2016-02-22,4.04,4.11,4.02,4.08
2016-02-23,4.08,4.08,4.03,4.05
2016-02-24,4.04,4.06,4.02,4.05
2016-02-25,4.05,4.08,4.0,4.01
2016-02-26,4.01,4.05,4.0,4.02
2016-02-29,4.01,4.04,3.89,4.03
2016-03-01,4.02,4.03,3.98,4.03
2016-03-02,4.03,4.12,4.01,4.11
2016-03-03,4.1,4.14,4.08,4.13
2016-03-04,4.12,4.33,4.09,4.31
2016-03-07,4.27,4.31,4.24,4.29
2016-03-08,4.26,4.34,4.21,4.33
2016-03-09,4.28,4.42,4.26,4.41
2016-03-10,4.36,4.38,4.32,4.32
2016-03-11,4.3,4.34,4.26,4.34
2016-03-14,4.34,4.34,4.29,4.3
2016-03-15,4.29,4.29,4.22,4.26
2016-03-16,4.24,4.35,4.23,4.32
2016-03-17,4.3,4.31,4.26,4.29
2016-03-18,4.3,4.3,4.24,4.3
2016-03-21,4.3,4.34,4.28,4.31
2016-03-22,4.31,4.33,4.28,4.29
2016-03-23,4.3,4.33,4.28,4.3
2016-03-24,4.3,4.31,4.25,4.26
2016-03-25,4.26,4.28,4.25,4.28
2016-03-28,4.27,4.3,4.25,4.3
2016-03-29,4.28,4.3,4.25,4.25
2016-03-30,4.24,4.33,4.24,4.32
2016-03-31,4.31,4.33,4.28,4.29
2016-04-01,4.29,4.31,4.26,4.3
2016-04-05,4.3,4.33,4.28,4.32
2016-04-06,4.3,4.31,4.28,4.29
2016-04-07,4.3,4.3,4.26,4.26
2016-04-08,4.25,4.29,4.25,4.26
2016-04-11,4.26,4.31,4.26,4.29
2016-04-12,4.29,4.3,4.28,4.28
2016-04-13,4.29,4.34,4.29,4.32
2016-04-14,4.33,4.33,4.31,4.31
2016-04-15,4.33,4.33,4.29,4.3
2016-04-18,4.29,4.3,4.26,4.29
2016-04-19,4.29,4.3,4.27,4.29
2016-04-20,4.29,4.29,4.22,4.29
2016-04-21,4.26,4.31,4.25,4.3
2016-04-22,4.28,4.3,4.27,4.28
2016-04-25,4.27,4.28,4.25,4.27
2016-04-26,4.27,4.29,4.26,4.28
2016-04-27,4.28,4.28,4.26,4.28
2016-04-28,4.28,4.28,4.25,4.28
2016-04-29,4.27,4.27,4.25,4.26
2016-05-03,4.26,4.29,4.24,4.28
2016-05-04,4.27,4.28,4.26,4.27
2016-05-05,4.27,4.28,4.26,4.28
2016-05-06,4.28,4.28,4.23,4.24
2016-05-09,4.23,4.24,4.16,4.17
2016-05-10,4.16,4.18,4.14,4.16
2016-05-11,4.17,4.21,4.15,4.19
2016-05-12,4.17,4.2,4.15,4.18
2016-05-13,4.18,4.23,4.17,4.22
2016-05-16,4.2,4.26,4.2,4.25
2016-05-17,4.24,4.26,4.23,4.25
2016-05-18,4.25,4.25,4.18,4.24
2016-05-19,4.23,4.26,4.22,4.24
2016-05-20,4.24,4.26,4.24,4.25
2016-05-23,4.26,4.28,4.25,4.26
2016-05-24,4.27,4.27,4.24,4.26
2016-05-25,4.27,4.28,4.26,4.26
2016-05-26,4.26,4.28,4.26,4.28
2016-05-27,4.27,4.29,4.26,4.29
2016-05-30,4.29,4.31,4.27,4.3
2016-05-31,4.29,4.37,4.29,4.36
2016-06-01,4.36,4.36,4.32,4.34
2016-06-02,4.34,4.35,4.33,4.34
2016-06-03,4.35,4.37,4.32,4.37
2016-06-06,4.36,4.39,4.35,4.38
2016-06-07,4.38,4.42,4.37,4.4
2016-06-08,4.41,4.41,4.36,4.39
2016-06-13,4.37,4.4,4.36,4.37
2016-06-14,4.35,4.42,4.35,4.4
2016-06-15,4.39,4.41,4.37,4.39
2016-06-16,4.37,4.38,4.35,4.37
2016-06-17,4.37,4.4,4.36,4.37
2016-06-20,4.39,4.4,4.37,4.39
2016-06-21,4.4,4.41,4.38,4.41
2016-06-22,4.4,4.46,4.39,4.44
2016-06-23,4.44,4.46,4.43,4.44
2016-06-24,4.44,4.46,4.36,4.4
2016-06-27,4.39,4.42,4.39,4.42
2016-06-28,4.41,4.43,4.36,4.42
2016-06-29,4.41,4.43,4.39,4.42
2016-06-30,4.42,4.45,4.4,4.44
2016-07-01,4.45,4.49,4.44,4.47
2016-07-04,4.47,4.55,4.47,4.54
2016-07-05,4.54,4.57,4.51,4.55
2016-07-06,4.54,4.56,4.49,4.56
2016-07-07,4.55,4.6,4.53,4.59
2016-07-08,4.35,4.35,4.27,4.29
2016-07-11,4.28,4.31,4.26,4.27
2016-07-12,4.27,4.35,4.26,4.34
2016-07-13,4.33,4.37,4.3,4.35
2016-07-14,4.35,4.35,4.3,4.31
2016-07-15,4.31,4.33,4.3,4.32
2016-07-18,4.31,4.35,4.31,4.34
2016-07-19,4.34,4.35,4.29,4.3
2016-07-20,4.3,4.31,4.27,4.28
2016-07-21,4.28,4.3,4.26,4.28
2016-07-22,4.28,4.29,4.24,4.28
2016-07-25,4.26,4.3,4.26,4.29
2016-07-26,4.29,4.32,4.27,4.31
2016-07-27,4.31,4.32,4.24,4.31
2016-07-28,4.3,4.31,4.28,4.29
2016-07-29,4.29,4.3,4.28,4.3
2016-08-01,4.3,4.33,4.29,4.33
2016-08-02,4.32,4.34,4.31,4.34
2016-08-03,4.33,4.34,4.32,4.33
2016-08-04,4.32,4.33,4.31,4.33
2016-08-05,4.31,4.33,4.3,4.33
2016-08-08,4.32,4.35,4.32,4.34
2016-08-09,4.33,4.37,4.33,4.37
2016-08-10,4.37,4.39,4.35,4.38
2016-08-11,4.38,4.47,4.38,4.42
2016-08-12,4.42,4.51,4.4,4.5
2016-08-15,4.51,4.61,4.48,4.58
2016-08-16,4.59,4.59,4.39,4.44
2016-08-17,4.43,4.45,4.41,4.44
2016-08-18,4.43,4.46,4.41,4.43
2016-08-19,4.44,4.44,4.41,4.44
2016-08-22,4.43,4.49,4.43,4.47
2016-08-23,4.47,4.53,4.46,4.52
2016-08-24,4.52,4.53,4.5,4.52
2016-08-25,4.51,4.53,4.48,4.52
