date,Open,High,Low,Close
2016-01-04,32.82,33.18,29.54,29.72
2016-01-05,29.72,31.48,29.53,31.33
2016-01-06,31.28,31.95,30.92,31.59
2016-01-07,30.9,30.98,28.88,29.04
2016-01-08,30.21,30.59,28.73,29.81
2016-01-11,29.0,29.54,28.19,28.4
2016-01-12,28.62,29.17,28.18,28.81
2016-01-13,29.06,29.93,28.55,28.99
2016-01-14,28.02,29.78,28.01,29.6
2016-01-15,29.6,29.82,28.1,28.39
2016-01-18,27.74,28.55,27.4,27.8
2016-01-19,27.82,29.28,27.66,28.82
2016-01-20,28.7,29.0,27.65,28.03
2016-01-21,27.63,28.23,27.02,27.03
2016-01-22,27.39,27.44,26.5,27.08
2016-01-25,27.22,27.49,27.07,27.2
2016-01-26,27.04,27.23,25.77,25.85
2016-01-27,26.0,26.43,25.15,26.23
2016-01-28,26.03,26.97,25.88,26.51
2016-01-29,26.35,27.5,26.2,27.31
2016-02-01,27.32,27.56,27.11,27.35
2016-02-02,27.35,27.98,27.3,27.61
2016-02-03,27.48,27.58,26.81,27.17
2016-02-04,27.22,27.67,27.11,27.29
2016-02-05,27.4,27.68,27.27,27.42
2016-02-15,26.95,27.28,26.72,26.96
2016-02-16,27.33,27.8,27.1,27.74
2016-02-17,27.66,28.22,27.61,27.95
2016-02-18,28.13,28.29,27.78,27.86
2016-02-19,27.81,27.93,27.5,27.6
2016-02-22,27.99,28.15,27.52,28.04
2016-02-23,28.07,28.1,27.72,27.87
2016-02-24,27.8,27.96,27.32,27.84
2016-02-25,27.72,27.83,26.0,26.47
2016-02-26,26.59,26.91,26.46,26.84
2016-02-29,26.78,26.79,25.72,26.07
2016-03-01,26.15,26.97,26.09,26.96
2016-03-02,27.19,29.18,26.97,29.18
2016-03-03,29.15,29.3,28.5,28.6
2016-03-04,28.78,29.75,28.55,29.12
2016-03-07,29.2,29.92,28.85,29.23
2016-03-08,29.25,29.3,28.28,28.85
2016-03-09,28.55,29.35,28.32,28.78
2016-03-10,28.75,29.66,28.69,29.03
