date,Open,High,Low,Close
2016-01-04,218.0,218.0,209.99,210.02
2016-01-05,210.0,213.97,207.51,212.82
2016-01-06,212.78,213.66,209.3,212.18
2016-01-07,208.99,208.99,200.03,202.23
2016-01-08,204.17,208.0,200.0,204.63
2016-01-11,203.16,203.79,199.4,199.86
2016-01-12,201.1,202.1,196.0,196.79
2016-01-13,199.1,206.0,198.6,199.78
2016-01-14,197.11,205.98,195.51,204.82
2016-01-15,204.75,206.18,198.0,199.0
2016-01-18,198.0,202.4,197.2,199.43
2016-01-19,201.0,210.33,200.01,210.24
2016-01-20,207.0,210.16,201.01,202.32
2016-01-21,201.26,204.59,199.9,200.26
2016-01-22,203.11,203.4,198.81,202.74
2016-01-25,203.0,203.49,201.5,202.77
2016-01-26,200.99,204.47,198.5,199.01
2016-01-27,199.98,200.89,195.7,199.93
2016-01-28,199.75,199.75,195.62,196.64
2016-01-29,197.48,202.5,197.0,200.65
2016-02-01,202.1,202.8,199.89,201.29
2016-02-02,202.0,204.8,200.64,204.55
2016-02-03,202.58,204.56,201.5,203.66
2016-02-04,204.8,205.88,203.54,204.99
2016-02-05,204.99,205.18,202.53,203.87
2016-02-15,200.0,203.0,199.6,200.41
2016-02-16,200.56,208.0,200.56,203.92
2016-02-17,203.74,204.92,200.51,202.3
2016-02-18,203.2,203.6,201.1,201.71
2016-02-19,201.62,203.18,201.13,203.11
2016-02-22,206.0,208.32,206.0,207.8
2016-02-23,207.77,214.98,207.02,212.41
2016-02-24,212.2,218.03,211.01,217.74
2016-02-25,218.8,220.48,212.13,212.41
2016-02-26,213.1,219.25,211.26,216.84
2016-02-29,218.99,220.88,206.8,214.91
2016-03-01,215.96,220.3,210.4,218.42
2016-03-02,219.0,225.5,218.67,224.22
2016-03-03,225.0,231.98,221.66,227.81
2016-03-04,226.88,240.16,225.01,238.78
2016-03-07,238.11,240.0,231.05,233.64
2016-03-08,233.3,233.3,227.0,229.21
2016-03-09,227.0,232.65,226.1,227.44
2016-03-10,228.99,233.7,228.0,228.06
2016-03-11,226.54,231.88,225.5,228.05
2016-03-14,230.76,233.5,222.2,224.57
2016-03-15,224.8,234.39,224.34,231.92
2016-03-16,230.22,232.5,225.0,228.61
2016-03-17,230.0,234.1,228.3,229.56
2016-03-18,232.0,232.26,225.78,226.0
2016-03-21,226.66,232.02,226.65,231.98
2016-03-22,232.26,238.18,231.5,234.49
2016-03-23,235.2,237.0,232.68,234.97
2016-03-24,235.0,245.4,231.3,242.66
2016-03-25,242.5,249.79,241.02,244.98
2016-03-28,244.98,253.38,244.98,249.58
2016-03-29,249.6,251.0,244.44,248.11
2016-03-30,249.0,250.4,245.48,248.66
2016-03-31,249.84,250.3,246.99,247.64
2016-04-01,248.95,250.49,244.54,245.09
2016-04-05,243.0,247.5,243.0,245.52
2016-04-06,245.8,257.6,245.8,257.21
2016-04-07,256.89,257.48,252.62,254.11
2016-04-08,252.0,255.89,248.2,249.86
2016-04-11,250.5,255.18,243.5,243.72
2016-04-12,243.7,245.0,242.1,244.92
2016-04-13,245.4,248.63,241.7,242.24
2016-04-14,242.38,244.83,241.0,242.76
2016-04-15,242.64,244.98,241.2,244.9
2016-04-18,242.8,246.0,242.5,243.68
2016-04-19,244.59,245.19,241.45,243.18
2016-04-20,243.19,244.4,235.8,238.44
2016-04-21,240.5,242.3,238.3,240.37
2016-04-22,241.0,247.88,240.37,247.4
2016-04-25,247.12,248.1,243.3,244.52
2016-04-26,244.95,246.88,243.0,243.86
2016-04-27,244.5,245.48,243.49,244.88
2016-04-28,245.83,246.74,244.0,246.44
2016-04-29,247.39,252.43,247.39,251.2
2016-05-03,250.55,262.28,250.55,260.0
2016-05-04,260.0,262.39,255.99,256.21
2016-05-05,256.5,258.15,255.5,257.77
2016-05-06,257.31,258.52,251.12,252.22
2016-05-09,250.13,252.8,249.01,250.82
2016-05-10,249.5,254.0,249.11,252.08
2016-05-11,252.35,260.48,252.35,256.87
2016-05-12,254.02,256.56,252.0,255.96
2016-05-13,255.98,258.9,250.5,250.96
2016-05-16,250.86,251.8,247.3,251.63
2016-05-17,251.01,252.4,249.83,250.03
2016-05-18,249.08,251.85,243.1,244.44
2016-05-19,245.16,248.5,244.5,245.77
2016-05-20,246.84,252.18,244.32,251.26
2016-05-23,249.72,254.99,249.72,254.2
2016-05-24,254.41,255.21,250.1,251.94
2016-05-25,254.48,254.94,251.01,251.86
2016-05-26,251.99,253.8,249.2,252.71
2016-05-27,252.72,254.69,251.38,252.44
2016-05-30,251.5,256.5,250.0,256.13
2016-05-31,256.0,266.62,255.2,264.47
2016-06-01,265.4,265.5,263.0,263.79
2016-06-02,263.01,268.68,263.01,267.74
2016-06-03,267.0,286.74,266.4,283.89
2016-06-06,282.0,283.0,275.0,276.05
2016-06-07,276.5,278.49,275.01,277.85
2016-06-08,276.4,277.86,273.5,274.28
2016-06-13,273.35,276.66,266.25,267.06
2016-06-14,267.71,273.8,267.71,272.75
2016-06-15,270.71,277.8,270.21,276.49
2016-06-16,274.86,277.8,273.78,274.02
2016-06-17,273.6,282.49,273.6,278.26
2016-06-20,279.77,279.86,274.0,276.11
2016-06-21,277.04,277.94,273.0,273.81
2016-06-22,273.77,279.36,272.77,278.44
2016-06-23,279.97,279.97,274.88,276.44
2016-06-24,275.28,277.0,267.2,273.77
2016-06-27,275.0,292.3,275.0,287.68
2016-06-28,287.02,289.66,286.32,288.21
2016-06-29,287.55,289.45,284.2,288.18
2016-06-30,290.02,298.2,290.02,291.92
2016-07-01,287.2,291.88,284.0,286.17
2016-07-04,287.0,295.4,286.0,293.9
2016-07-05,295.03,303.1,295.03,300.58
2016-07-06,299.8,318.0,299.01,317.19
2016-07-07,315.8,326.8,312.08,316.91
2016-07-08,313.53,315.5,306.16,309.91
2016-07-11,309.03,324.0,309.03,315.14
2016-07-12,315.76,326.6,315.0,324.73
2016-07-13,323.03,324.73,315.05,317.19
2016-07-14,316.09,320.8,315.2,317.09
2016-07-15,317.12,318.03,315.06,317.52
2016-07-18,317.5,319.5,315.66,316.21
2016-07-19,315.5,316.3,305.55,308.11
2016-07-20,308.62,310.87,307.5,308.56
2016-07-21,310.15,317.6,309.0,314.38
2016-07-22,312.9,315.2,307.38,307.92
2016-07-25,307.6,314.19,307.0,311.26
2016-07-26,309.01,319.5,308.5,319.04
2016-07-27,319.85,320.6,308.3,314.01
2016-07-28,312.0,319.3,311.5,316.05
2016-07-29,315.08,318.88,313.0,313.15
2016-08-01,313.0,313.95,305.0,306.96
2016-08-02,307.25,310.5,302.85,306.21
2016-08-03,307.0,307.9,304.15,306.82
2016-08-04,306.85,308.33,304.22,306.3
2016-08-05,306.49,308.37,305.03,305.93
2016-08-08,306.15,308.3,303.06,308.1
2016-08-09,308.17,317.67,306.42,315.75
2016-08-10,315.05,316.5,313.33,313.81
2016-08-11,314.38,321.57,314.01,316.77
2016-08-12,317.4,317.4,314.01,316.97
2016-08-15,315.8,321.69,314.15,318.78
2016-08-16,322.0,322.48,308.0,309.52
2016-08-17,309.6,310.97,306.5,308.16
2016-08-18,307.95,309.65,305.13,306.43
2016-08-19,305.8,307.45,304.8,306.48
2016-08-22,306.13,309.58,306.0,307.32
2016-08-23,307.33,309.04,305.8,306.88
2016-08-24,307.02,307.49,303.83,305.28
2016-08-25,305.2,305.38,300.07,303.01
2016-08-26,303.14,304.55,300.4,301.45
2016-08-29,308.0,308.8,305.2,307.53
2016-08-30,307.0,308.5,304.67,305.86
2016-08-31,306.7,310.76,305.54,310.19
2016-09-01,309.7,312.0,308.25,308.71
2016-09-02,308.0,309.45,304.88,305.78
2016-09-05,306.2,309.0,305.81,308.5
2016-09-06,308.5,310.36,308.35,309.94
2016-09-07,309.68,309.68,305.5,306.6
2016-09-08,305.21,306.5,304.41,305.82
2016-09-09,306.65,306.86,304.0,304.63
2016-09-12,302.0,304.0,297.77,298.06
2016-09-13,299.95,300.97,299.3,300.43
2016-09-14,300.1,302.2,298.01,299.57
2016-09-19,300.05,301.57,299.88,300.13
2016-09-20,300.78,300.8,294.0,294.96
2016-09-21,295.06,295.39,289.11,294.05
2016-09-22,294.3,299.98,294.01,296.98
2016-09-23,297.02,298.95,295.4,297.68
2016-09-26,297.0,297.01,288.55,288.73
2016-09-27,288.88,291.98,288.76,291.17
2016-09-28,291.79,291.79,287.56,288.41
2016-09-29,287.85,293.0,287.85,290.98
2016-09-30,290.0,299.63,290.0,297.91
2016-10-10,298.51,303.86,298.51,302.96
2016-10-11,304.0,309.0,303.0,308.92
2016-10-12,308.5,308.5,304.9,305.82
2016-10-13,306.8,306.94,303.51,303.89
2016-10-14,303.47,306.0,303.2,305.6
2016-10-17,305.45,305.5,301.5,302.45
2016-10-18,302.5,308.5,302.0,307.16
2016-10-19,308.5,308.75,305.1,306.45
2016-10-20,307.39,307.39,304.8,305.48
2016-10-21,305.08,305.48,302.59,304.19
2016-10-24,302.6,307.0,302.6,306.93
2016-10-25,307.39,313.0,307.39,312.94
2016-10-26,313.0,318.31,311.65,313.68
2016-10-27,312.99,318.22,311.01,316.87
2016-10-28,317.5,318.43,314.0,317.05
2016-10-31,319.0,322.8,316.8,317.95
2016-11-01,317.95,319.0,315.55,316.68
2016-11-02,316.09,317.16,313.68,315.18
2016-11-03,315.0,316.46,314.15,315.86
2016-11-04,315.99,318.25,313.98,314.82
2016-11-07,315.0,317.0,313.2,315.33
2016-11-08,316.5,322.18,315.68,320.0
2016-11-09,320.0,321.97,313.8,316.81
2016-11-10,319.1,321.0,317.73,319.13
2016-11-11,317.99,318.3,314.8,315.08
2016-11-14,315.55,315.87,309.99,310.99
2016-11-15,310.03,315.65,310.03,314.01
2016-11-16,313.81,315.4,312.0,313.15
2016-11-17,312.08,313.0,310.53,311.04
2016-11-18,311.16,311.8,309.88,310.0
2016-11-21,311.02,311.66,308.37,309.5
2016-11-22,310.3,310.45,308.37,308.87
2016-11-23,311.0,313.0,309.11,312.95
2016-11-24,313.2,317.0,311.42,316.93
2016-11-25,317.04,318.0,313.42,316.89
2016-11-28,317.55,320.18,316.6,319.5
2016-11-29,320.7,330.45,319.41,323.96
2016-11-30,321.22,323.3,318.45,319.08
2016-12-01,320.0,324.59,318.68,321.02
2016-12-02,321.0,323.2,319.0,321.77
2016-12-05,319.2,324.54,315.82,315.93
2016-12-06,316.23,326.58,316.23,326.42
2016-12-07,327.12,328.5,323.97,327.45
2016-12-08,328.01,340.0,327.0,337.71
2016-12-09,337.2,339.42,334.02,337.76
2016-12-12,337.7,340.0,325.7,326.86
2016-12-13,326.84,335.0,325.5,333.01
2016-12-14,333.0,334.07,328.5,332.27
2016-12-15,332.46,332.99,325.58,328.05
2016-12-16,327.0,329.88,323.58,327.58
2016-12-19,326.0,334.37,325.61,325.96
2016-12-20,326.04,327.0,321.81,326.48
2016-12-21,326.9,329.29,323.56,328.66
2016-12-22,328.0,328.46,324.88,325.2
2016-12-23,323.55,324.5,319.13,320.03
2016-12-26,319.03,324.99,316.2,324.48
2016-12-27,324.51,328.8,323.5,326.16
2016-12-28,326.99,328.0,323.33,323.72
2016-12-29,324.0,327.87,323.0,327.31
2016-12-30,326.61,335.29,326.61,334.15
2017-01-03,334.28,337.0,332.81,334.56
2017-01-04,334.62,352.17,334.6,351.91
2017-01-05,350.0,351.45,345.44,346.74
2017-01-06,346.64,359.78,346.1,350.76
2017-01-09,347.8,352.88,346.54,348.51
2017-01-10,348.45,352.0,346.6,349.0
2017-01-11,348.0,348.0,343.5,345.45
2017-01-12,346.55,347.4,344.51,347.05
2017-01-13,346.98,347.39,343.88,344.87
2017-01-16,344.13,344.8,338.8,341.47
2017-01-17,342.6,351.5,342.0,349.13
2017-01-18,348.88,356.77,347.21,355.08
2017-01-19,355.0,358.48,351.7,354.72
2017-01-20,354.9,357.4,353.03,354.99
2017-01-23,356.88,359.8,349.46,351.22
2017-01-24,351.27,352.8,346.75,350.31
