date,Open,High,Low,Close
2016-01-04,35.84,35.84,33.9,34.05
2016-01-05,33.68,34.81,33.5,34.5
2016-01-06,34.3,34.66,34.0,34.53
2016-01-07,34.0,34.52,33.0,33.77
2016-01-08,34.0,34.45,32.9,33.94
2016-01-11,33.0,33.33,32.0,32.03
2016-01-12,32.27,32.56,31.82,32.21
2016-01-13,32.77,32.78,31.85,31.99
2016-01-14,30.9,32.06,30.8,31.99
2016-01-15,31.64,31.87,30.9,31.2
2016-01-18,30.73,31.27,30.59,31.07
2016-01-19,31.22,31.68,30.75,31.51
2016-01-20,31.22,31.45,30.29,30.53
2016-01-21,30.37,30.81,29.87,30.15
2016-01-22,30.37,30.49,29.68,30.22
2016-01-25,30.29,30.36,29.89,30.26
2016-01-26,29.91,30.1,28.98,29.23
2016-01-27,29.35,29.48,28.8,29.22
2016-01-28,29.2,29.61,28.77,29.3
2016-01-29,29.2,30.38,29.12,30.18
2016-02-01,30.16,30.16,29.31,29.53
2016-02-02,29.53,30.1,29.5,29.97
2016-02-03,29.5,29.8,29.1,29.64
2016-02-04,29.77,30.06,29.49,29.71
2016-02-05,29.7,30.0,29.61,29.66
2016-02-15,28.7,29.79,28.62,29.43
2016-02-16,29.55,30.32,29.46,30.12
2016-02-17,30.13,30.33,29.92,30.04
2016-02-18,30.28,30.49,29.8,29.91
2016-02-19,29.91,30.15,29.73,29.92
2016-02-22,30.28,31.65,30.03,30.97
2016-02-23,30.96,30.97,30.24,30.5
2016-02-24,30.3,30.6,30.03,30.41
2016-02-25,30.37,30.37,28.86,28.96
2016-02-26,29.33,29.4,28.94,29.1
2016-02-29,29.05,29.15,27.81,29.01
2016-03-01,28.9,29.69,28.56,29.26
2016-03-02,29.35,30.3,29.35,30.18
2016-03-03,30.25,30.49,29.98,30.38
2016-03-04,30.28,31.6,30.13,31.55
2016-03-07,31.38,31.58,30.81,31.05
2016-03-08,30.98,31.35,29.99,31.3
2016-03-09,30.82,31.45,30.26,31.38
2016-03-10,30.98,31.29,30.7,30.74
2016-03-11,30.57,31.1,30.47,31.04
2016-03-14,30.99,31.57,30.9,31.11
2016-03-15,31.05,31.49,30.65,31.36
2016-03-16,31.1,32.26,31.05,32.13
2016-03-17,32.1,32.37,31.88,32.0
2016-03-18,32.32,32.42,31.88,32.12
2016-03-21,32.39,33.8,32.24,32.83
2016-03-22,32.65,33.04,32.0,32.1
2016-03-23,32.29,32.76,32.08,32.26
2016-03-24,32.07,32.09,31.75,31.8
2016-03-25,31.81,32.8,31.64,32.06
2016-03-28,32.1,32.35,31.35,31.46
2016-03-29,31.61,31.76,31.14,31.25
2016-03-30,31.6,32.06,31.52,31.99
2016-03-31,32.09,32.18,31.71,31.81
2016-04-01,31.83,31.96,31.21,31.92
2016-04-05,31.7,32.2,31.5,32.0
2016-04-06,31.78,31.96,31.64,31.74
2016-04-07,31.89,31.96,31.36,31.37
2016-04-08,31.2,31.27,31.04,31.16
2016-04-11,31.32,31.84,31.32,31.51
2016-04-12,31.49,31.75,31.4,31.55
2016-04-13,31.8,32.26,31.72,31.91
2016-04-14,32.08,32.38,31.88,32.02
2016-04-15,32.03,32.1,31.88,31.99
2016-04-18,31.8,32.09,31.51,31.79
2016-04-19,32.0,32.04,31.75,31.93
2016-04-20,31.94,32.25,31.11,32.21
2016-04-21,31.94,32.5,31.86,32.22
2016-04-22,32.0,32.55,31.88,32.42
2016-04-25,32.3,32.5,31.97,32.32
2016-04-26,32.32,32.53,32.21,32.39
2016-04-27,32.57,32.62,32.21,32.26
2016-04-28,32.26,32.38,32.01,32.19
2016-04-29,32.09,32.4,31.95,32.04
2016-05-03,32.01,32.43,31.86,31.91
2016-05-04,31.93,32.03,31.89,31.93
2016-05-05,31.93,32.05,31.87,31.95
2016-05-06,32.0,32.01,31.39,31.4
2016-05-09,31.39,31.4,31.05,31.16
2016-05-10,31.08,31.26,31.02,31.19
2016-05-11,31.24,31.37,31.16,31.25
2016-05-12,31.2,31.85,30.95,31.71
2016-05-13,31.55,31.85,31.49,31.72
2016-05-16,31.56,31.7,31.51,31.61
2016-05-17,31.6,31.65,31.45,31.51
2016-05-18,31.41,31.89,31.37,31.81
2016-05-19,31.71,31.9,31.7,31.83
2016-05-20,31.82,31.97,31.72,31.82
2016-05-23,31.76,31.96,31.71,31.83
2016-05-24,31.72,31.83,31.5,31.64
2016-05-25,31.83,31.88,31.59,31.61
2016-05-26,31.61,31.79,31.5,31.63
2016-05-27,31.7,31.71,31.58,31.6
2016-05-30,31.75,31.94,31.5,31.91
2016-05-31,31.94,33.5,31.94,32.72
2016-06-01,32.69,32.82,32.25,32.29
2016-06-02,32.31,32.5,32.1,32.21
2016-06-03,32.45,32.45,32.02,32.34
2016-06-06,32.4,32.45,32.05,32.11
2016-06-07,32.22,32.24,32.08,32.14
2016-06-08,32.12,32.23,32.02,32.15
2016-06-13,31.95,32.03,31.7,31.8
2016-06-14,31.69,32.02,31.5,31.98
2016-06-15,31.62,32.08,31.61,31.98
2016-06-16,31.83,32.12,31.83,31.97
2016-06-17,31.97,32.19,31.92,31.98
2016-06-20,32.2,32.2,31.97,32.12
2016-06-21,32.18,32.48,32.01,32.06
2016-06-22,32.05,32.15,31.97,32.08
2016-06-23,32.09,32.14,31.97,32.0
2016-06-24,31.98,32.13,31.21,31.55
2016-06-27,31.5,31.74,31.45,31.68
2016-06-28,31.57,31.86,31.46,31.85
2016-06-29,31.9,32.18,31.85,32.16
2016-06-30,32.17,32.3,32.01,32.04
2016-07-01,32.14,32.28,32.06,32.18
2016-07-04,32.12,32.66,32.06,32.44
2016-07-05,32.2,32.25,32.0,32.07
2016-07-06,32.0,32.08,31.8,31.99
2016-07-07,31.95,31.99,31.8,31.95
2016-07-08,31.95,31.96,31.76,31.78
2016-07-11,31.81,31.97,31.76,31.79
2016-07-12,31.81,32.46,31.8,32.41
2016-07-13,32.6,32.8,32.3,32.46
2016-07-14,32.44,32.5,32.29,32.49
2016-07-15,32.5,32.7,32.42,32.59
2016-07-18,32.67,33.0,32.62,32.69
2016-07-19,32.69,32.69,32.21,32.38
2016-07-20,32.42,32.45,32.13,32.31
2016-07-21,32.31,32.65,32.31,32.55
2016-07-22,32.5,32.54,32.23,32.3
2016-07-25,32.3,32.4,32.22,32.3
2016-07-26,32.3,32.64,32.25,32.52
2016-07-27,32.55,32.8,31.83,32.79
2016-07-28,32.53,32.68,32.41,32.45
2016-07-29,32.49,32.6,32.31,32.37
2016-08-01,32.3,32.4,32.2,32.28
2016-08-02,32.3,32.38,32.2,32.28
2016-08-03,32.13,32.28,32.1,32.18
2016-08-04,32.18,32.2,32.01,32.15
2016-08-05,32.16,32.25,32.11,32.18
2016-08-08,32.23,32.3,32.1,32.27
2016-08-09,32.33,32.66,32.33,32.54
2016-08-10,32.55,32.78,32.52,32.54
2016-08-11,32.5,33.4,32.5,32.79
2016-08-12,32.81,33.5,32.76,33.48
2016-08-15,33.55,35.23,33.48,34.56
2016-08-16,34.8,34.92,33.89,33.92
2016-08-17,34.05,34.13,33.68,33.97
2016-08-18,34.3,34.9,34.13,34.43
2016-08-19,34.48,34.66,34.17,34.52
2016-08-22,34.61,34.68,34.23,34.46
2016-08-23,34.42,35.18,34.42,34.84
2016-08-24,34.89,34.92,34.31,34.33
2016-08-25,34.01,34.16,33.8,34.09
2016-08-26,34.16,34.41,34.04,34.09
2016-08-29,34.01,34.31,33.72,34.26
2016-08-30,34.28,34.46,34.06,34.21
2016-08-31,34.19,34.38,34.03,34.22
2016-09-01,34.21,34.54,34.16,34.37
2016-09-02,34.34,34.89,34.23,34.86
2016-09-05,34.69,34.95,34.5,34.76
2016-09-06,34.72,35.43,34.64,35.14
2016-09-07,35.19,35.67,35.18,35.21
2016-09-08,35.2,35.58,35.13,35.38
2016-09-09,35.43,35.84,35.28,35.46
2016-09-12,34.91,35.15,34.2,35.12
2016-09-13,34.98,34.98,34.4,34.72
2016-09-14,34.5,34.6,34.17,34.3
2016-09-19,34.4,35.12,34.4,34.97
2016-09-20,34.97,34.97,34.8,34.85
2016-09-21,34.89,34.98,34.48,34.67
2016-09-22,34.81,35.37,34.81,35.01
2016-09-23,35.05,35.2,34.72,34.89
2016-09-26,34.76,34.78,34.33,34.38
2016-09-27,34.23,34.4,34.19,34.36
2016-09-28,34.38,34.38,34.12,34.14
2016-09-29,34.25,34.44,34.15,34.19
2016-09-30,34.1,34.27,34.06,34.16
2016-10-10,34.46,34.8,34.3,34.6
2016-10-11,34.62,34.75,34.25,34.38
2016-10-12,34.26,34.44,34.2,34.3
2016-10-13,34.22,34.32,34.01,34.12
2016-10-14,34.13,34.18,34.05,34.11
2016-10-17,34.12,34.18,33.88,33.94
2016-10-18,33.88,34.29,33.88,34.2
2016-10-19,34.24,34.27,34.1,34.12
2016-10-20,34.16,34.24,34.11,34.14
2016-10-21,34.12,34.28,34.05,34.22
2016-10-24,34.22,34.79,34.15,34.49
2016-10-25,34.56,34.62,34.4,34.55
2016-10-26,34.56,34.64,34.39,34.42
2016-10-27,34.42,34.43,34.1,34.19
2016-10-28,34.4,34.73,34.36,34.53
2016-10-31,34.4,34.65,34.2,34.61
2016-11-01,34.63,35.1,34.5,35.06
2016-11-02,34.89,34.98,34.54,34.61
2016-11-03,34.59,35.09,34.52,34.97
2016-11-04,34.88,35.16,34.87,34.93
2016-11-07,34.98,35.05,34.88,34.99
2016-11-08,35.11,35.18,34.88,35.0
2016-11-09,35.0,35.01,34.33,34.71
