date,Open,High,Low,Close
2016-08-08,1.0,1.01,0.99,1.0
2016-08-09,1.0,1.02,1.0,1.01
2016-08-10,1.01,1.02,1.01,1.01
2016-08-11,1.01,1.03,1.01,1.01
2016-08-12,1.01,1.04,1.01,1.04
2016-08-15,1.04,1.13,1.04,1.1
2016-08-16,1.1,1.1,1.08,1.09
2016-08-17,1.1,1.11,1.07,1.08
2016-08-18,1.07,1.08,1.06,1.07
2016-08-19,1.07,1.07,1.06,1.07
2016-08-22,1.07,1.07,1.04,1.04
2016-08-23,1.05,1.06,1.04,1.06
2016-08-24,1.06,1.06,1.04,1.05
2016-08-25,1.04,1.06,1.04,1.05
2016-08-26,1.05,1.06,1.05,1.05
2016-08-29,1.05,1.05,1.04,1.05
2016-08-30,1.05,1.06,1.05,1.05
2016-08-31,1.05,1.07,1.05,1.06
2016-09-01,1.06,1.06,1.04,1.04
2016-09-02,1.04,1.06,1.04,1.05
2016-09-05,1.05,1.07,1.05,1.05
2016-09-06,1.05,1.06,1.04,1.06
2016-09-07,1.06,1.06,1.05,1.06
2016-09-08,1.06,1.06,1.05,1.05
2016-09-09,1.05,1.06,1.05,1.05
2016-09-12,1.04,1.04,1.01,1.02
2016-09-13,1.02,1.03,1.02,1.02
2016-09-14,1.02,1.02,1.01,1.01
2016-09-19,1.01,1.02,1.01,1.02
2016-09-20,1.02,1.02,1.01,1.01
2016-09-21,1.01,1.03,1.01,1.02
2016-09-22,1.03,1.03,1.02,1.02
2016-09-23,1.02,1.02,1.02,1.02
2016-09-26,1.02,1.02,1.0,1.0
2016-09-27,1.0,1.01,1.0,1.01
2016-09-28,1.01,1.01,1.0,1.0
2016-09-29,1.0,1.02,1.0,1.02
2016-09-30,1.01,1.02,1.01,1.02
2016-10-10,1.02,1.03,1.02,1.03
2016-10-11,1.03,1.04,1.03,1.03
2016-10-12,1.03,1.03,1.02,1.03
2016-10-13,1.03,1.03,1.03,1.03
2016-10-14,1.03,1.03,1.02,1.03
2016-10-17,1.03,1.03,1.01,1.01
2016-10-18,1.01,1.04,1.01,1.04
2016-10-19,1.04,1.04,1.03,1.03
2016-10-20,1.03,1.04,1.03,1.03
2016-10-21,1.03,1.05,1.03,1.04
2016-10-24,1.04,1.08,1.04,1.06
2016-10-25,1.06,1.06,1.05,1.05
2016-10-26,1.06,1.06,1.05,1.05
2016-10-27,1.05,1.05,1.05,1.05
2016-10-28,1.06,1.09,1.06,1.06
2016-10-31,1.06,1.06,1.04,1.06
2016-11-01,1.06,1.07,1.06,1.07
2016-11-02,1.07,1.08,1.06,1.06
2016-11-03,1.06,1.11,1.06,1.09
2016-11-04,1.09,1.1,1.08,1.08
2016-11-07,1.08,1.09,1.08,1.09
2016-11-08,1.1,1.11,1.09,1.09
2016-11-09,1.09,1.09,1.07,1.08
2016-11-10,1.09,1.1,1.09,1.1
2016-11-11,1.1,1.14,1.1,1.13
2016-11-14,1.13,1.17,1.12,1.14
2016-11-15,1.14,1.15,1.13,1.13
2016-11-16,1.14,1.14,1.13,1.14
2016-11-17,1.14,1.14,1.12,1.14
2016-11-18,1.13,1.13,1.11,1.12
2016-11-21,1.11,1.13,1.11,1.12
2016-11-22,1.12,1.14,1.12,1.14
2016-11-23,1.14,1.14,1.12,1.13
2016-11-24,1.12,1.15,1.12,1.14
2016-11-25,1.13,1.14,1.12,1.14
2016-11-28,1.16,1.16,1.14,1.14
2016-11-29,1.13,1.15,1.12,1.14
2016-11-30,1.14,1.15,1.13,1.13
2016-12-01,1.13,1.14,1.13,1.14
2016-12-02,1.14,1.14,1.12,1.12
2016-12-05,1.11,1.11,1.08,1.08
2016-12-06,1.08,1.09,1.08,1.08
2016-12-07,1.08,1.09,1.08,1.09
2016-12-08,1.09,1.09,1.08,1.08
2016-12-09,1.08,1.09,1.08,1.08
2016-12-12,1.08,1.08,1.04,1.05
2016-12-13,1.05,1.06,1.04,1.05
2016-12-14,1.06,1.06,1.04,1.04
2016-12-15,1.04,1.05,1.03,1.04
2016-12-16,1.04,1.04,1.03,1.04
2016-12-19,1.04,1.04,1.03,1.03
2016-12-20,1.03,1.03,1.02,1.03
2016-12-21,1.03,1.04,1.03,1.04
2016-12-22,1.04,1.04,1.03,1.03
2016-12-23,1.03,1.03,1.02,1.02
2016-12-26,1.02,1.04,1.01,1.03
2016-12-27,1.03,1.04,1.02,1.03
2016-12-28,1.03,1.03,1.02,1.02
2016-12-29,1.02,1.03,1.02,1.02
2016-12-30,1.03,1.03,1.02,1.03
2017-01-03,1.03,1.04,1.03,1.04
2017-01-04,1.04,1.04,1.04,1.04
2017-01-05,1.04,1.04,1.04,1.04
2017-01-06,1.04,1.04,1.03,1.03
2017-01-09,1.03,1.04,1.03,1.03
2017-01-10,1.03,1.04,1.03,1.03
2017-01-11,1.03,1.04,1.03,1.03
2017-01-12,1.03,1.04,1.03,1.03
