date,Open,High,Low,Close
2016-01-04,12.0,12.03,11.23,11.33
2016-01-05,11.27,11.57,11.15,11.4
2016-01-06,11.42,11.56,11.39,11.53
2016-01-07,11.41,11.41,10.91,10.94
2016-01-08,11.21,11.29,10.9,11.12
2016-01-11,11.0,11.08,10.68,10.76
2016-01-12,10.83,10.91,10.64,10.81
2016-01-13,10.89,10.94,10.7,10.71
2016-01-14,10.59,10.8,10.48,10.77
2016-01-15,10.66,10.8,10.42,10.46
2016-01-18,10.34,10.56,10.3,10.41
2016-01-19,10.45,10.78,10.41,10.71
2016-01-20,10.7,10.8,10.44,10.54
2016-01-21,10.48,10.75,10.32,10.32
2016-01-22,10.4,10.45,10.22,10.4
2016-01-25,10.4,10.44,10.33,10.37
2016-01-26,10.32,10.32,9.86,9.87
2016-01-27,9.93,9.98,9.6,9.88
2016-01-28,9.82,9.89,9.65,9.69
2016-01-29,9.74,10.08,9.69,10.0
2016-02-01,9.98,10.01,9.74,9.8
2016-02-02,9.8,10.03,9.78,9.95
2016-02-03,9.85,9.89,9.77,9.85
2016-02-04,9.89,10.0,9.88,9.95
2016-02-05,9.96,9.97,9.91,9.92
2016-02-15,9.66,9.85,9.65,9.79
2016-02-16,9.84,10.03,9.83,10.01
2016-02-17,10.03,10.22,9.99,10.15
2016-02-18,10.18,10.22,10.09,10.09
2016-02-19,10.09,10.14,9.99,10.04
2016-02-22,10.13,10.31,10.06,10.29
2016-02-23,10.29,10.29,10.05,10.12
2016-02-24,10.06,10.15,10.01,10.15
2016-02-25,10.12,10.13,9.6,9.67
2016-02-26,9.77,9.83,9.66,9.79
2016-02-29,9.79,9.81,9.42,9.56
2016-03-01,9.62,9.77,9.58,9.7
2016-03-02,9.75,10.13,9.72,10.1
2016-03-03,10.09,10.18,10.04,10.11
2016-03-04,10.09,10.5,10.07,10.4
2016-03-07,10.35,10.49,10.3,10.34
2016-03-08,10.36,10.36,9.94,10.28
2016-03-09,10.14,10.22,10.04,10.17
