date,Open,High,Low,Close
2020-02-26,1.63,1.64,1.55,1.56
2020-02-27,1.56,1.6,1.53,1.57
2020-02-28,1.5,1.54,1.48,1.49
2020-03-02,1.51,1.56,1.48,1.54
2020-03-03,1.58,1.62,1.54,1.57
2020-03-04,1.55,1.56,1.5,1.54
2020-03-05,1.56,1.57,1.52,1.54
2020-03-06,1.52,1.54,1.51,1.53
2020-03-09,1.5,1.5,1.45,1.45
2020-03-10,1.43,1.53,1.43,1.52
2020-03-11,1.53,1.53,1.48,1.48
2020-03-12,1.44,1.46,1.42,1.44
2020-03-13,1.37,1.46,1.37,1.44
2020-03-16,1.44,1.44,1.33,1.34
2020-03-17,1.36,1.38,1.29,1.35
2020-03-18,1.36,1.38,1.32,1.32
2020-03-19,1.32,1.35,1.29,1.34
2020-03-20,1.36,1.36,1.32,1.35
2020-03-23,1.3,1.32,1.28,1.28
2020-03-24,1.31,1.32,1.26,1.31
2020-03-25,1.34,1.36,1.34,1.36
2020-03-26,1.35,1.36,1.34,1.34
2020-03-27,1.36,1.37,1.33,1.33
2020-03-30,1.3,1.31,1.27,1.3
2020-03-31,1.31,1.32,1.3,1.3
2020-04-01,1.3,1.33,1.3,1.31
2020-04-02,1.3,1.37,1.3,1.37
2020-04-03,1.36,1.36,1.34,1.35
2020-04-07,1.38,1.39,1.37,1.38
2020-04-08,1.37,1.39,1.37,1.38
2020-04-09,1.39,1.39,1.38,1.38
2020-04-10,1.38,1.38,1.34,1.34
2020-04-13,1.33,1.33,1.31,1.32
2020-04-14,1.33,1.36,1.33,1.36
2020-04-15,1.36,1.38,1.36,1.36
2020-04-16,1.35,1.37,1.34,1.37
2020-04-17,1.38,1.4,1.38,1.38
2020-04-20,1.38,1.39,1.38,1.39
2020-04-21,1.38,1.38,1.36,1.38
2020-04-22,1.37,1.39,1.36,1.39
2020-04-23,1.4,1.4,1.37,1.38
2020-04-24,1.38,1.38,1.35,1.35
2020-04-27,1.36,1.38,1.35,1.37
2020-04-28,1.37,1.39,1.34,1.38
2020-04-29,1.38,1.38,1.37,1.38
2020-04-30,1.38,1.44,1.38,1.43
2020-05-06,1.42,1.46,1.41,1.46
2020-05-07,1.46,1.48,1.44,1.45
2020-05-08,1.46,1.48,1.46,1.47
2020-05-11,1.48,1.48,1.45,1.46
2020-05-12,1.46,1.47,1.44,1.46
2020-05-13,1.46,1.48,1.46,1.47
2020-05-14,1.465,1.477,1.459,1.462
2020-05-15,1.468,1.481,1.457,1.466
2020-05-18,1.466,1.468,1.428,1.434
2020-05-19,1.449,1.475,1.448,1.474
2020-05-20,1.467,1.477,1.45,1.457
2020-05-21,1.461,1.466,1.433,1.437
2020-05-22,1.437,1.441,1.396,1.405
2020-05-25,1.396,1.402,1.377,1.385
2020-05-26,1.396,1.424,1.392,1.422
2020-05-27,1.422,1.422,1.39,1.396
2020-05-28,1.391,1.4,1.36,1.385
2020-05-29,1.374,1.4,1.373,1.393
2020-06-01,1.41,1.456,1.41,1.454
2020-06-02,1.457,1.471,1.448,1.463
2020-06-03,1.471,1.49,1.458,1.468
2020-06-04,1.475,1.482,1.461,1.469
2020-06-05,1.472,1.484,1.464,1.483
2020-06-08,1.499,1.514,1.483,1.486
2020-06-09,1.49,1.499,1.476,1.494
2020-06-10,1.492,1.524,1.491,1.52
2020-06-11,1.519,1.538,1.505,1.514
2020-06-12,1.49,1.522,1.485,1.515
2020-06-15,1.5,1.517,1.486,1.487
2020-06-16,1.511,1.525,1.508,1.523
2020-06-17,1.531,1.534,1.519,1.534
2020-06-18,1.537,1.56,1.527,1.559
2020-06-19,1.559,1.594,1.556,1.586
2020-06-22,1.59,1.616,1.586,1.606
2020-06-23,1.604,1.632,1.594,1.63
2020-06-24,1.63,1.636,1.616,1.634
2020-06-29,1.629,1.631,1.611,1.619
2020-06-30,1.632,1.668,1.632,1.662
2020-07-01,1.67,1.672,1.627,1.659
2020-07-02,1.653,1.679,1.646,1.667
2020-07-03,1.67,1.688,1.648,1.688
2020-07-06,1.701,1.79,1.696,1.785
2020-07-07,1.815,1.867,1.785,1.817
2020-07-08,1.81,1.847,1.788,1.841
2020-07-09,1.837,1.919,1.831,1.909
2020-07-10,1.901,1.914,1.868,1.885
2020-07-13,1.881,1.94,1.879,1.94
2020-07-14,1.938,1.939,1.855,1.901
2020-07-15,1.9,1.917,1.85,1.86
2020-07-16,1.861,1.878,1.733,1.748
2020-07-17,1.754,1.795,1.734,1.772
2020-07-20,1.798,1.802,1.742,1.795
2020-07-21,1.805,1.822,1.788,1.81
2020-07-22,1.805,1.86,1.797,1.832
2020-07-23,1.815,1.832,1.773,1.819
2020-07-24,1.795,1.807,1.706,1.719
2020-07-27,1.722,1.759,1.72,1.739
2020-07-28,1.758,1.768,1.739,1.76
2020-07-29,1.752,1.83,1.75,1.827
2020-07-30,1.83,1.834,1.8,1.805
2020-07-31,1.81,1.849,1.801,1.833
2020-08-03,1.849,1.87,1.834,1.869
2020-08-04,1.868,1.874,1.831,1.843
2020-08-05,1.88,1.894,1.832,1.86
2020-08-06,1.858,1.858,1.823,1.85
2020-08-07,1.84,1.848,1.775,1.807
2020-08-10,1.792,1.81,1.767,1.792
2020-08-11,1.79,1.816,1.764,1.771
2020-08-12,1.76,1.775,1.714,1.765
2020-08-13,1.771,1.774,1.743,1.749
2020-08-14,1.75,1.784,1.745,1.783
2020-08-17,1.787,1.811,1.775,1.81
2020-08-18,1.813,1.813,1.792,1.802
2020-08-19,1.796,1.798,1.747,1.753
2020-08-20,1.743,1.764,1.732,1.747
2020-08-21,1.763,1.783,1.743,1.757
2020-08-24,1.767,1.8,1.747,1.79
2020-08-25,1.792,1.808,1.781,1.789
2020-08-26,1.788,1.795,1.748,1.755
2020-08-27,1.759,1.771,1.742,1.769
2020-08-28,1.763,1.807,1.757,1.807
2020-08-31,1.818,1.825,1.79,1.792
2020-09-01,1.785,1.804,1.781,1.803
2020-09-02,1.805,1.818,1.793,1.81
2020-09-03,1.811,1.812,1.783,1.788
2020-09-04,1.756,1.775,1.751,1.773
2020-09-07,1.77,1.775,1.702,1.715
2020-09-08,1.716,1.72,1.688,1.708
2020-09-09,1.684,1.684,1.638,1.652
2020-09-10,1.672,1.684,1.638,1.643
2020-09-11,1.639,1.683,1.63,1.679
2020-09-14,1.689,1.703,1.671,1.683
2020-09-15,1.678,1.692,1.666,1.689
2020-09-16,1.688,1.688,1.651,1.659
2020-09-17,1.652,1.671,1.631,1.656
2020-09-18,1.653,1.681,1.647,1.68
2020-09-21,1.687,1.692,1.67,1.672
2020-09-22,1.661,1.687,1.656,1.665
2020-09-23,1.667,1.686,1.667,1.682
2020-09-24,1.67,1.67,1.644,1.647
2020-09-25,1.654,1.656,1.643,1.649
2020-09-28,1.648,1.661,1.647,1.65
2020-09-29,1.659,1.679,1.655,1.671
2020-09-30,1.671,1.69,1.66,1.669
2020-10-09,1.699,1.727,1.699,1.727
2020-10-12,1.739,1.776,1.739,1.775
2020-10-13,1.774,1.787,1.762,1.782
2020-10-14,1.77,1.771,1.751,1.753
2020-10-15,1.753,1.758,1.74,1.743
2020-10-16,1.742,1.754,1.718,1.732
2020-10-19,1.746,1.752,1.713,1.715
2020-10-20,1.711,1.736,1.709,1.735
