date,Open,High,Low,Close
2016-07-04,21.99,21.99,21.99,21.99
2016-07-05,19.79,19.79,19.79,19.79
2016-07-06,19.1,20.78,19.1,19.8
2016-07-07,19.1,19.22,18.71,18.82
2016-07-08,18.6,18.98,18.21,18.75
2016-07-11,18.5,18.69,18.23,18.27
2016-07-12,18.27,18.43,17.56,18.12
2016-07-13,18.0,18.49,17.85,18.32
2016-07-14,18.14,18.18,17.92,17.96
2016-07-15,17.9,18.05,17.86,17.89
2016-07-18,17.84,17.84,17.42,17.43
2016-07-19,17.39,17.39,17.04,17.11
2016-07-20,16.89,17.42,16.74,17.08
2016-07-21,16.91,17.19,16.86,17.02
2016-07-22,17.17,17.59,17.13,17.39
2016-07-25,17.26,17.79,16.92,17.7
2016-07-26,17.6,17.83,17.52,17.78
2016-07-27,17.78,17.83,16.91,17.42
2016-07-28,17.39,17.93,17.21,17.92
2016-07-29,17.05,17.35,16.81,17.14
2016-08-01,17.01,17.29,16.9,17.17
2016-08-02,17.11,17.7,17.07,17.61
2016-08-03,17.55,17.97,17.49,17.88
2016-08-04,17.76,19.67,17.6,19.67
2016-08-05,20.33,21.63,19.96,20.95
2016-08-08,20.74,22.95,20.55,21.87
2016-08-09,22.11,22.29,21.15,21.97
2016-08-10,21.7,21.88,21.0,21.2
2016-08-11,21.15,21.37,20.64,20.71
2016-08-12,20.8,22.78,20.52,22.78
2016-08-15,23.45,25.06,23.41,25.06
2016-08-16,26.51,27.57,26.11,27.57
2016-08-17,26.61,27.44,25.36,25.85
2016-08-18,25.3,27.68,24.51,25.58
2016-08-19,25.15,25.32,24.51,24.59
2016-08-22,24.79,25.56,24.44,24.7
2016-08-23,24.39,25.28,23.83,24.7
2016-08-24,24.4,24.84,23.75,23.99
2016-08-25,23.5,23.94,22.71,23.54
2016-08-26,23.59,23.59,22.88,22.89
2016-08-29,22.86,23.25,22.75,22.91
2016-08-30,22.95,23.06,22.55,22.66
2016-08-31,22.68,24.93,22.6,24.93
2016-09-01,25.0,25.01,23.19,23.44
2016-09-02,23.14,24.6,23.01,23.77
2016-09-05,23.6,23.68,23.1,23.44
2016-09-06,23.4,23.66,23.0,23.32
2016-09-07,23.54,23.54,23.1,23.27
2016-09-08,23.23,24.45,23.13,23.62
2016-09-09,23.5,23.59,23.01,23.17
2016-09-12,22.6,23.97,22.5,23.5
2016-09-13,23.38,23.68,23.2,23.58
2016-09-14,23.35,23.8,23.33,23.58
2016-09-19,23.58,24.0,23.51,23.63
2016-09-20,23.63,23.69,23.23,23.62
2016-09-21,23.55,24.62,23.41,24.62
2016-09-22,24.8,27.08,24.41,27.0
2016-09-23,26.32,26.55,25.24,25.48
2016-09-26,25.19,25.35,24.4,24.68
2016-09-27,24.61,25.69,24.51,25.14
2016-09-28,24.88,26.38,24.33,25.8
2016-09-29,25.68,26.3,25.38,25.99
2016-09-30,25.9,27.45,25.81,26.17
2016-10-10,25.0,25.98,24.66,25.97
2016-10-11,25.75,27.41,25.56,26.23
2016-10-12,26.0,26.67,25.63,26.6
