date,Open,High,Low,Close
2016-01-04,27.38,27.45,25.5,25.67
2016-01-05,25.5,26.58,25.12,26.0
2016-01-06,25.91,26.88,25.74,26.58
2016-01-07,26.27,26.27,25.13,25.28
2016-01-08,25.68,26.46,24.51,25.91
2016-01-11,25.45,25.85,23.93,24.07
2016-01-12,24.5,24.54,23.83,24.08
2016-01-13,24.24,24.92,24.02,24.11
2016-01-14,23.6,24.56,23.41,24.3
2016-01-15,24.21,24.6,23.45,23.6
2016-01-18,23.41,24.21,23.25,23.94
2016-01-19,23.93,24.91,23.88,24.91
2016-01-20,24.76,24.94,24.0,24.61
2016-01-21,24.28,24.94,24.01,24.04
2016-01-22,24.33,24.4,23.7,24.08
2016-01-25,24.3,24.53,24.1,24.44
2016-01-26,24.37,24.69,23.3,23.55
2016-01-27,23.58,23.7,22.51,22.95
2016-01-28,22.95,23.28,22.6,22.68
2016-01-29,22.68,23.89,22.68,23.66
2016-02-01,23.66,24.45,23.55,24.02
2016-02-02,24.05,24.57,24.05,24.2
2016-02-03,24.01,24.29,23.86,24.29
2016-02-04,24.35,24.63,24.27,24.32
2016-02-05,24.36,24.47,23.67,23.68
2016-02-15,23.3,23.44,22.8,23.27
2016-02-16,23.39,24.13,23.34,24.04
2016-02-17,24.0,24.15,23.71,23.94
2016-02-18,24.06,24.1,23.37,23.45
2016-02-19,23.38,23.47,23.0,23.3
2016-02-22,23.5,23.96,23.33,23.85
2016-02-23,23.9,24.36,23.64,24.0
2016-02-24,23.8,24.21,23.7,24.19
2016-02-25,24.19,24.2,22.81,23.08
2016-02-26,23.18,23.82,22.93,23.44
2016-02-29,23.4,23.59,22.31,22.46
2016-03-01,22.55,23.04,22.42,22.83
2016-03-02,22.81,23.95,22.81,23.87
2016-03-03,23.92,25.19,23.87,24.5
2016-03-04,24.44,25.49,24.31,25.17
2016-03-07,25.31,25.83,25.05,25.36
2016-03-08,25.31,25.31,24.52,25.06
2016-03-09,24.62,24.9,24.2,24.79
2016-03-10,24.7,25.55,24.61,25.14
2016-03-11,25.15,25.8,24.86,25.4
2016-03-14,25.61,26.46,25.38,25.45
