date,Open,High,Low,Close
2016-01-04,68.47,69.69,63.91,64.08
2016-01-05,63.46,68.89,63.1,66.99
2016-01-06,66.89,67.99,65.55,66.74
2016-01-07,65.5,66.19,61.0,61.35
2016-01-08,63.05,64.14,60.6,61.02
2016-01-11,60.69,60.69,58.62,59.2
2016-01-12,59.69,60.45,58.68,60.05
2016-01-13,60.06,61.2,58.48,58.87
2016-01-14,58.0,60.99,57.5,60.88
2016-01-15,60.8,60.8,59.0,59.6
2016-01-18,58.0,60.57,57.68,59.84
2016-01-19,59.59,61.68,59.0,61.42
2016-01-20,60.98,61.39,59.0,59.0
2016-01-21,58.39,60.69,58.39,58.45
2016-01-22,59.2,59.5,57.51,58.11
2016-01-25,58.9,61.09,58.58,59.94
2016-01-26,60.25,62.67,59.66,59.91
2016-01-27,60.01,61.0,57.54,58.5
2016-01-28,58.7,59.3,57.0,57.1
2016-01-29,56.6,59.05,56.56,58.81
2016-02-01,58.16,59.6,58.14,58.69
2016-02-02,58.7,60.06,58.53,59.6
2016-02-03,59.23,59.99,59.23,59.58
2016-02-04,60.08,60.96,59.43,59.53
2016-02-05,59.57,60.95,59.56,59.9
2016-02-15,59.49,59.56,58.0,58.59
2016-02-16,58.7,60.47,58.7,59.92
2016-02-17,59.92,60.2,59.32,59.8
2016-02-18,60.0,60.23,58.5,58.67
2016-02-19,58.5,58.97,57.85,58.89
2016-02-22,59.03,60.08,58.51,59.92
2016-02-23,59.9,61.8,59.59,61.5
2016-02-24,61.0,61.5,60.33,61.09
2016-02-25,61.09,61.69,56.8,57.71
2016-02-26,57.72,60.28,57.2,58.85
2016-02-29,59.15,60.03,57.3,57.31
2016-03-01,57.35,59.7,57.35,59.2
2016-03-02,58.8,62.8,58.8,62.55
2016-03-03,62.52,65.5,62.0,64.0
2016-03-04,63.97,67.16,63.23,66.06
2016-03-07,66.29,68.0,64.64,65.0
2016-03-08,65.2,66.18,63.63,65.05
2016-03-09,64.0,65.88,63.51,65.0
2016-03-10,64.87,67.15,64.5,66.3
2016-03-11,65.2,66.11,64.49,65.34
2016-03-14,65.51,66.29,64.0,64.27
2016-03-15,64.0,64.14,62.02,63.2
2016-03-16,62.7,63.59,61.51,62.9
2016-03-17,62.81,64.96,62.68,64.3
2016-03-18,64.3,64.93,63.32,64.0
2016-03-21,63.52,65.87,63.52,65.69
2016-03-22,65.44,66.6,64.48,65.47
2016-03-23,65.2,66.0,65.08,65.72
2016-03-24,65.2,66.6,64.28,65.5
2016-03-25,65.26,67.39,65.26,66.67
2016-03-28,66.75,69.5,66.7,68.05
2016-03-29,68.11,68.51,64.97,66.02
2016-03-30,66.35,67.48,65.78,67.4
2016-03-31,67.6,67.94,65.97,66.8
2016-04-01,66.78,67.24,65.78,65.87
2016-04-05,65.5,66.99,65.29,66.37
2016-04-06,66.5,68.28,66.33,68.28
2016-04-07,68.8,68.99,65.0,65.07
2016-04-08,64.55,65.49,63.5,63.8
2016-04-11,64.04,65.0,64.04,64.11
2016-04-12,64.15,65.0,63.5,64.65
