date,Open,High,Low,Close
2016-01-04,13.53,13.62,13.15,13.15
2016-01-05,13.11,13.33,13.01,13.17
2016-01-06,13.17,13.26,13.12,13.21
2016-01-07,13.19,13.19,12.8,12.82
2016-01-08,13.09,13.16,12.88,12.95
2016-01-11,12.82,13.0,12.5,12.56
2016-01-12,12.65,12.74,12.48,12.53
2016-01-13,12.59,12.72,12.41,12.44
2016-01-14,12.23,12.92,12.11,12.84
2016-01-15,12.76,13.03,12.41,12.62
2016-01-18,12.45,12.79,12.41,12.65
2016-01-19,12.63,12.98,12.58,12.81
2016-01-20,12.9,12.9,12.55,12.6
2016-01-21,12.31,12.71,12.31,12.5
2016-01-22,12.55,12.63,12.49,12.51
2016-01-25,12.56,12.58,12.47,12.53
2016-01-26,12.5,12.5,12.07,12.09
2016-01-27,12.18,12.19,11.84,12.02
2016-01-28,12.01,12.3,11.93,12.0
2016-01-29,11.96,12.26,11.93,12.11
2016-02-01,12.08,12.27,12.06,12.15
2016-02-02,12.17,12.22,12.04,12.13
2016-02-03,12.05,12.18,12.03,12.16
2016-02-04,12.16,12.5,12.16,12.31
2016-02-05,12.31,12.36,12.2,12.25
2016-02-15,12.1,12.11,11.98,12.05
2016-02-16,12.08,12.29,12.08,12.24
2016-02-17,12.26,12.28,12.12,12.19
2016-02-18,12.22,12.27,12.15,12.18
2016-02-19,12.14,12.15,12.02,12.08
2016-02-22,12.14,12.15,12.0,12.1
2016-02-23,12.13,12.16,12.06,12.15
2016-02-24,12.11,12.22,12.07,12.21
2016-02-25,12.2,12.22,11.88,11.91
2016-02-26,12.0,12.04,11.66,11.76
2016-02-29,11.8,11.85,11.13,11.4
2016-03-01,11.39,11.56,11.13,11.48
2016-03-02,11.46,11.79,11.38,11.74
2016-03-11,11.8,12.2,11.52,12.05
2016-03-14,12.01,12.17,11.9,12.11
2016-03-15,12.13,12.23,12.05,12.21
2016-03-16,12.17,12.48,12.15,12.31
2016-03-17,12.35,12.37,12.18,12.29
2016-03-18,12.28,12.36,12.2,12.3
2016-03-21,12.3,12.39,12.22,12.31
2016-03-22,12.3,12.36,12.23,12.33
2016-03-23,12.32,12.33,12.23,12.27
2016-03-24,12.2,12.25,12.1,12.17
2016-03-25,12.12,12.26,12.12,12.18
2016-03-28,12.2,12.29,12.08,12.1
2016-03-29,12.11,12.18,12.05,12.12
2016-03-30,12.13,12.31,12.13,12.3
2016-03-31,12.3,12.33,12.2,12.28
2016-04-01,12.29,12.52,12.24,12.48
2016-04-05,12.49,12.55,12.34,12.4
2016-04-06,12.38,12.39,12.23,12.31
2016-04-07,12.3,12.32,12.17,12.18
2016-04-08,12.18,12.23,12.12,12.19
2016-04-11,12.2,12.24,12.17,12.17
2016-04-12,12.16,12.21,12.15,12.17
2016-04-13,12.18,12.27,12.12,12.22
2016-04-14,12.23,12.28,12.2,12.23
2016-04-15,12.25,12.4,12.24,12.25
2016-04-18,12.26,12.39,12.22,12.35
2016-04-19,12.37,12.49,12.35,12.47
2016-04-20,12.46,12.48,12.16,12.47
2016-04-21,12.39,12.44,12.28,12.31
2016-04-22,12.31,12.38,12.25,12.33
2016-04-25,12.32,12.53,12.27,12.45
2016-04-26,12.45,12.49,12.29,12.41
2016-04-27,12.38,12.59,12.35,12.5
2016-04-28,12.5,12.54,12.37,12.48
2016-04-29,12.45,12.45,12.29,12.33
2016-05-03,12.34,12.43,12.3,12.37
2016-05-04,12.36,12.39,12.32,12.34
2016-05-05,12.36,12.48,12.29,12.35
2016-05-06,12.35,12.36,12.27,12.27
2016-05-09,12.27,12.32,12.19,12.27
2016-05-10,12.25,12.31,12.23,12.27
2016-05-11,12.3,12.33,12.2,12.24
2016-05-12,12.22,12.62,12.2,12.48
2016-05-13,12.45,12.51,12.36,12.45
2016-05-16,12.41,12.58,12.41,12.49
2016-05-17,12.46,12.59,12.37,12.39
2016-05-18,12.38,12.47,12.27,12.42
2016-05-19,12.39,12.46,12.3,12.32
2016-05-20,12.31,12.41,12.27,12.37
2016-05-23,12.38,12.4,12.27,12.3
2016-05-24,12.3,12.35,12.28,12.34
2016-05-25,12.34,12.36,12.27,12.28
2016-05-26,12.3,12.32,12.25,12.28
2016-05-27,12.27,12.33,12.25,12.28
2016-05-30,12.27,12.35,12.26,12.27
2016-05-31,12.27,12.5,12.27,12.46
2016-06-01,12.42,12.47,12.39,12.45
2016-06-02,12.41,12.49,12.41,12.45
2016-06-03,12.47,12.65,12.4,12.6
2016-06-06,12.63,12.65,12.46,12.53
2016-06-07,12.55,12.58,12.48,12.52
2016-06-08,12.53,12.67,12.48,12.66
2016-06-13,12.63,12.64,12.51,12.53
2016-06-14,12.51,12.62,12.38,12.41
2016-06-15,12.36,12.48,12.36,12.45
2016-06-16,12.45,12.45,12.28,12.31
2016-06-17,12.32,12.39,12.32,12.34
2016-06-20,12.37,12.46,12.34,12.46
2016-06-21,12.47,12.49,12.39,12.43
2016-06-22,12.43,12.47,12.39,12.45
2016-06-23,12.45,12.46,12.36,12.36
2016-06-24,12.36,12.42,12.31,12.35
2016-06-27,12.35,12.43,12.33,12.42
2016-06-28,12.38,12.43,12.35,12.4
2016-06-29,12.41,12.45,12.35,12.42
2016-06-30,12.42,12.52,12.4,12.49
2016-07-01,12.49,12.56,12.44,12.55
2016-07-04,12.57,12.65,12.54,12.61
2016-07-05,12.68,12.73,12.56,12.65
2016-07-06,12.64,13.04,12.6,13.0
2016-07-07,13.0,13.0,12.85,12.9
2016-07-08,12.9,12.96,12.84,12.92
2016-07-11,12.93,12.98,12.8,12.93
2016-07-12,12.9,13.01,12.78,12.98
2016-07-13,12.95,13.13,12.93,13.04
2016-07-14,13.06,13.19,13.0,13.17
2016-07-15,13.17,13.35,13.15,13.24
2016-07-18,13.25,13.29,13.04,13.13
2016-07-19,12.94,13.0,12.75,12.89
2016-07-20,12.9,12.9,12.82,12.84
2016-07-21,12.78,12.89,12.75,12.82
2016-07-22,12.85,12.85,12.62,12.73
2016-07-25,12.76,12.85,12.72,12.83
2016-07-26,12.84,12.91,12.8,12.91
2016-07-27,12.92,13.13,12.83,13.12
2016-07-28,13.09,13.46,13.06,13.36
2016-07-29,13.38,13.59,13.22,13.24
2016-08-01,13.2,13.44,13.19,13.39
2016-08-02,13.39,13.43,13.17,13.29
2016-08-03,13.29,13.34,13.2,13.31
2016-08-04,13.31,13.33,13.19,13.24
2016-08-05,13.24,13.32,13.19,13.25
2016-08-08,13.28,13.63,13.25,13.51
2016-08-09,13.52,13.61,13.46,13.55
2016-08-10,13.55,13.72,13.51,13.69
2016-08-11,13.73,14.08,13.58,13.93
2016-08-12,13.94,14.38,13.92,14.14
2016-08-15,14.16,14.34,14.08,14.15
2016-08-16,14.16,14.18,13.65,13.73
2016-08-17,13.69,13.84,13.62,13.67
2016-08-18,13.68,13.81,13.65,13.7
2016-08-19,13.7,13.86,13.55,13.81
2016-08-22,13.78,13.95,13.72,13.78
2016-08-23,13.79,13.84,13.63,13.68
2016-08-24,13.68,13.79,13.64,13.71
2016-08-25,13.69,13.7,13.5,13.58
2016-08-26,13.6,13.88,13.58,13.84
2016-08-29,13.82,13.82,13.65,13.66
2016-08-30,13.66,13.75,13.65,13.68
2016-08-31,13.68,13.84,13.63,13.79
2016-09-01,13.83,13.83,13.67,13.68
2016-09-02,13.68,14.0,13.66,13.95
2016-09-05,13.9,13.95,13.75,13.79
2016-09-06,13.79,13.8,13.69,13.74
2016-09-07,13.73,13.75,13.6,13.63
2016-09-08,13.6,13.63,13.57,13.6
2016-09-09,13.6,13.65,13.52,13.55
2016-09-12,13.47,13.75,13.26,13.73
2016-09-13,13.62,13.64,13.42,13.53
2016-09-14,13.47,13.55,13.38,13.42
2016-09-19,13.41,13.48,13.35,13.43
2016-09-20,13.42,13.42,13.33,13.39
2016-09-21,13.39,13.42,13.34,13.39
2016-09-22,13.43,13.52,13.39,13.43
2016-09-23,13.41,13.48,13.35,13.36
2016-09-26,13.35,13.44,13.35,13.37
2016-09-27,13.35,13.41,13.21,13.29
2016-09-28,13.3,13.32,13.22,13.24
2016-09-29,13.27,13.31,13.2,13.27
2016-09-30,13.28,13.34,13.27,13.3
2016-10-10,13.36,13.4,13.28,13.35
2016-10-11,13.31,13.54,13.29,13.48
2016-10-12,13.47,13.57,13.42,13.54
2016-10-13,13.51,13.57,13.49,13.52
2016-10-14,13.53,13.64,13.51,13.61
2016-10-17,13.63,13.68,13.48,13.51
2016-10-18,13.47,13.58,13.44,13.56
2016-10-19,13.56,13.62,13.45,13.49
2016-10-20,13.49,13.53,13.34,13.38
2016-10-21,13.39,13.44,13.33,13.4
2016-10-24,13.4,13.53,13.33,13.37
2016-10-25,13.37,13.46,13.32,13.41
2016-10-26,13.42,13.42,13.33,13.34
2016-10-27,13.37,13.39,13.27,13.28
2016-10-28,13.29,13.41,13.25,13.34
2016-10-31,13.34,13.47,13.34,13.45
2016-11-01,13.41,13.47,13.39,13.45
2016-11-02,13.44,13.46,13.27,13.3
2016-11-03,13.3,13.36,13.28,13.32
2016-11-04,13.31,13.35,13.22,13.24
2016-11-07,13.25,13.28,13.13,13.14
2016-11-08,13.18,13.22,13.07,13.13
2016-11-09,13.13,13.14,13.03,13.11
2016-11-10,13.13,13.23,13.11,13.14
2016-11-11,13.14,13.2,13.07,13.12
2016-11-14,13.13,13.16,13.02,13.03
2016-11-15,13.05,13.11,13.0,13.04
2016-11-16,13.04,13.09,13.02,13.07
2016-11-17,13.08,13.08,13.03,13.08
2016-11-18,13.08,13.08,13.02,13.03
2016-11-21,13.03,13.14,13.02,13.09
2016-11-22,13.09,13.14,13.04,13.08
2016-11-23,13.08,13.11,13.03,13.07
2016-11-24,13.08,13.26,13.06,13.18
2016-11-25,13.22,13.49,13.21,13.34
2016-11-28,13.39,13.43,13.25,13.29
2016-11-29,13.25,13.59,13.24,13.47
2016-11-30,13.45,13.55,13.29,13.34
2016-12-01,13.34,13.39,13.18,13.31
2016-12-02,13.32,13.41,13.22,13.34
2016-12-05,13.22,13.35,13.17,13.3
2016-12-06,13.25,13.29,13.17,13.21
2016-12-07,13.2,13.22,13.05,13.15
2016-12-08,13.17,13.18,13.06,13.07
2016-12-09,13.08,13.17,13.06,13.15
2016-12-12,13.15,13.15,13.0,13.08
2016-12-13,13.01,13.06,12.98,12.99
2016-12-14,12.97,13.02,12.92,12.93
2016-12-15,12.91,12.94,12.8,12.88
2016-12-16,12.93,13.04,12.83,12.94
2016-12-19,12.95,12.96,12.85,12.88
2016-12-20,12.88,12.92,12.64,12.73
2016-12-21,12.71,12.89,12.7,12.89
2016-12-22,12.88,12.96,12.78,12.8
2016-12-23,12.81,12.88,12.65,12.78
2016-12-26,12.72,12.75,12.65,12.66
2016-12-27,12.69,12.7,12.53,12.56
2016-12-28,12.58,12.58,12.4,12.45
2016-12-29,12.45,12.71,12.44,12.58
2016-12-30,12.62,12.71,12.6,12.66
2017-01-03,12.68,12.72,12.59,12.61
2017-01-04,12.64,12.72,12.6,12.7
2017-01-05,12.7,12.77,12.67,12.7
2017-01-06,12.73,12.84,12.68,12.71
2017-01-09,12.7,12.76,12.69,12.73
2017-01-10,12.77,12.78,12.7,12.72
2017-01-11,12.73,12.75,12.68,12.7
2017-01-12,12.69,12.72,12.64,12.66
2017-01-13,12.66,12.79,12.66,12.78
2017-01-16,12.73,13.04,12.7,12.94
2017-01-17,12.93,13.04,12.87,12.93
2017-01-18,12.96,12.99,12.91,12.93
2017-01-19,12.91,13.03,12.89,12.94
2017-01-20,12.92,13.01,12.92,12.96
2017-01-23,13.01,13.08,12.97,13.01
2017-01-24,13.02,13.08,12.99,13.06
2017-01-25,13.05,13.07,12.97,13.05
2017-01-26,13.05,13.06,13.0,13.03
2017-02-03,13.05,13.07,12.9,12.91
2017-02-06,12.94,13.02,12.9,12.97
2017-02-07,12.98,13.02,12.94,12.98
2017-02-08,13.0,13.12,12.98,13.1
2017-02-09,13.1,13.1,13.04,13.06
2017-02-10,13.08,13.15,13.05,13.12
2017-02-13,13.13,13.16,13.07,13.15
2017-02-14,13.14,13.18,13.11,13.14
2017-02-15,13.16,13.22,13.09,13.18
2017-02-16,13.17,13.21,13.11,13.17
2017-02-17,13.17,13.2,13.1,13.12
2017-02-20,13.12,13.28,13.11,13.27
2017-02-21,13.27,13.29,13.2,13.23
2017-02-22,13.25,13.25,13.11,13.19
2017-02-23,13.18,13.21,13.09,13.18
2017-02-24,13.16,13.19,13.06,13.14
2017-02-27,13.12,13.14,12.97,13.01
2017-02-28,13.04,13.06,12.91,12.97
2017-03-01,12.96,13.06,12.96,13.0
