date,Open,High,Low,Close
2016-01-04,16.34,16.34,15.08,15.17
2016-01-05,14.91,15.7,14.91,15.49
2016-01-06,15.47,15.63,15.18,15.54
2016-01-07,15.3,15.3,14.35,14.5
2016-01-08,15.0,15.15,14.17,14.92
2016-01-11,14.63,14.8,14.3,14.42
2016-01-12,14.58,14.76,14.33,14.62
2016-01-13,14.74,14.94,14.32,14.4
2016-01-14,14.05,14.7,13.97,14.63
2016-01-15,14.51,14.67,14.15,14.27
2016-01-18,14.06,14.52,14.02,14.26
2016-01-19,14.26,14.7,14.18,14.68
2016-01-20,14.6,14.85,14.25,14.31
2016-01-21,14.16,14.45,13.98,14.0
2016-01-22,14.18,14.23,13.69,14.0
2016-01-25,14.03,14.15,13.86,14.01
2016-01-26,13.9,13.9,12.95,12.98
2016-01-27,13.03,13.16,12.51,13.01
2016-01-28,12.95,13.18,12.82,12.84
2016-01-29,12.85,13.51,12.81,13.34
2016-02-01,13.4,13.48,13.08,13.23
2016-02-02,13.25,13.56,13.25,13.45
2016-02-03,13.33,13.38,13.18,13.31
2016-02-04,13.35,13.59,13.33,13.45
2016-02-05,13.46,13.51,13.35,13.36
2016-02-15,13.0,13.25,12.9,13.16
2016-02-16,13.24,13.62,13.24,13.53
2016-02-17,13.52,13.89,13.48,13.76
2016-02-18,13.78,13.84,13.6,13.63
2016-02-19,13.63,13.67,13.47,13.55
2016-02-22,13.7,13.89,13.6,13.84
2016-02-23,13.86,13.87,13.58,13.66
2016-02-24,13.62,13.97,13.49,13.89
2016-02-25,13.89,13.89,12.88,12.97
2016-02-26,13.01,13.17,12.92,13.09
2016-02-29,13.14,13.17,12.6,12.99
2016-03-01,13.06,13.2,12.7,13.17
2016-03-02,13.21,13.67,13.15,13.63
2016-03-03,13.6,13.88,13.5,13.85
2016-03-04,13.87,14.45,13.61,14.35
2016-03-07,14.2,14.49,14.1,14.22
2016-03-08,14.18,14.18,13.66,13.97
2016-03-09,13.74,13.77,13.4,13.56
2016-03-10,13.54,13.66,13.42,13.43
2016-03-11,13.36,13.49,13.27,13.36
2016-03-14,13.46,13.72,13.37,13.6
2016-03-15,13.59,14.29,13.51,14.25
2016-03-16,14.07,14.44,13.91,13.94
2016-03-17,13.95,14.21,13.9,14.1
2016-03-18,14.12,14.45,14.12,14.29
2016-03-21,14.42,14.85,14.3,14.59
2016-03-22,14.53,14.54,14.35,14.39
2016-03-23,14.4,14.67,14.38,14.52
2016-03-24,14.5,14.5,14.11,14.12
2016-03-25,14.11,14.25,14.05,14.17
