tag,n_rows,num_train,cutoff_index,cutoff_date,windows_used,last_close_index_used,leak_check_ok,acf1_abs_pre,rv_pre,acf1_abs_test,rv_test
META,2514,1759,1916,2023-08-15,1821,1915,True,0.04698673724265266,0.020435254980553954,0.07692555932766514,0.021671850866597054
GDAXI,2537,1775,1934,2023-08-16,1839,1933,True,0.05649768723464443,0.009536009897181199,0.08960059653645155,0.008250950431818557
RUT,2514,1759,1916,2023-08-15,1821,1915,True,0.05717178869984287,0.011905456349572763,0.0952841363788542,0.013315809713320775
TSLA,2514,1759,1916,2023-08-15,1821,1915,True,0.060179385906565436,0.03331947151886455,0.05124505254793531,0.037692256541847984
GOLD,2513,1759,1915,2023-08-17,1820,1914,True,0.06034355163467506,0.008736228801890364,0.0620306691556189,0.009935919302481961
XOM,2514,1759,1916,2023-08-15,1821,1915,True,0.06078975938148773,0.014888877521743771,0.06312927513198593,0.012812557863327426
GLD,2514,1759,1916,2023-08-15,1821,1915,True,0.0632643807352852,0.008318763634232064,0.05367835682736045,0.009866789590748068
AMZN,2514,1759,1916,2023-08-15,1821,1915,True,0.0648718671637709,0.017179007509769174,0.05952535735450481,0.018413001759740522
TLT,2514,1759,1916,2023-08-15,1821,1915,True,0.06494366075419906,0.008077198105363536,0.05761962224829643,0.008875799936423543
HSI,2459,1721,1872,2023-08-11,1777,1871,True,0.07137458365386955,0.011982067423572348,0.04877558362203546,0.014830122114139734
GBPUSD,2602,1821,1986,2023-08-16,1891,1985,True,0.07198072655741192,0.0053617350465884,0.08268366556857092,0.004374552102540114
AAPL,2514,1759,1916,2023-08-15,1821,1915,True,0.07664898608484114,0.015909855672398127,0.052827415987320214,0.014630298415114512
AUDUSD,2602,1821,1986,2023-08-16,1891,1985,True,0.07703482638198716,0.005683601307145015,0.09353939898450134,0.00551493990506408
USDCAD,2602,1821,1986,2023-08-16,1891,1985,True,0.07829816050374819,0.004470934578690122,0.06661348696168706,0.003198830691393899
N225,2444,1710,1860,2023-08-14,1765,1859,True,0.08045047423486253,0.011464050317684013,0.0923204135977761,0.012862893908159997
FTSE,2525,1767,1924,2023-08-17,1829,1923,True,0.08133065843497195,0.007914605184092902,0.09355461902237358,0.005955111565380922
WTI,2514,1759,1916,2023-08-17,1821,1915,True,0.08175519622460208,0.022387620928676372,0.04724235411482861,0.019893174142888225
JPM,2514,1759,1916,2023-08-15,1821,1915,True,0.08886449924146055,0.013681023678713919,0.0919532082673622,0.014084391086275875
MSFT,2514,1759,1916,2023-08-15,1821,1915,True,0.10529815657724079,0.01539153786193711,0.065851983468713,0.012558418499127654
WMT,2514,1759,1916,2023-08-15,1821,1915,True,0.12568729662270944,0.012212164672720746,0.05655602810562661,0.012072765455541678
