asset,n_rows,is_new,n_samples,realized_vol,relative_vol,acf1_abs,jump_ratio,trend_persistence,sign_persistence,skew,kurtosis
BABA,2513,False,479,0.025455813985103555,1.051698197158053,0.0821176730297631,0.010526315789473684,0.657197146472108,0.031578947368421054,0.19124976315823014,1.9688174663288405
BOE,2404,True,457,0.015388710467273456,0.974457448726701,0.04082704325126325,0.021052631578947368,0.563703731855412,0.042105263157894736,0.056330868282601435,3.4428229874423786
BOND10Y,2006,True,378,0.0016910525887328842,0.9969317256777752,0.12285335307660798,0.010526315789473684,1.3179701807703044,0.12631578947368421,-0.9631233433639863,3.433582479682275
BONDETF,2409,True,458,0.0011306574957405196,1.017544487292899,0.05127541043871228,0.010526315789473684,1.4708973006425639,0.1368421052631579,-0.29149402130841495,3.3171260050290985
BTCUSD,3653,False,707,0.025417784775734035,0.9834710556740079,0.08445910103313836,0.010526315789473684,0.8281015184043709,0.07368421052631578,0.23369623822072566,1.7397557625563604
BYD,2407,True,458,0.023270686089073206,1.5024481492327961,0.032434761738021546,0.010526315789473684,0.9826851567062079,0.05263157894736842,0.2970325825867943,2.3609976252767164
CATL,1815,True,340,0.022573389567621397,1.0548267881333913,0.04106031083166424,0.021052631578947368,0.6553730300049077,0.09473684210526316,0.5146111054108466,8.337849234341041
CHINEXTETF,2405,True,458,0.017756073538841177,1.1110782699580182,0.07343086029697943,0.010526315789473684,0.6834699760005369,0.11578947368421053,0.6448681007637508,1.9413221270938301
CITICSEC,2396,True,456,0.015569144070982272,1.0677289028855907,0.06571936297885064,0.021052631578947368,0.7810692481833964,0.07368421052631578,0.6191103183631179,2.94672502630855
CITS,2407,True,458,0.02240114890651719,0.9840562803234877,0.1101578824815685,0.010526315789473684,0.561392525605745,0.15789473684210525,1.1711312255360884,3.468113346250674
CMB,2408,True,458,0.013102740261593072,1.0182463326584326,0.10142850682819668,0.021052631578947368,0.6895368288347644,0.08421052631578947,-0.13507250659009185,3.2774861318322177
CSI300ETF,2409,True,458,0.009461964124958209,1.0871038604761198,0.07114865445977024,0.010526315789473684,0.6545622141368026,0.08421052631578947,0.3300855516775637,1.5804541872695212
CSI500ETF,2406,True,458,0.014532706383285144,0.9672401580657685,0.12894600384301624,0.010526315789473684,0.6562507642378365,0.14736842105263157,0.5707365910242707,4.915081154154475
DJI,2513,False,479,0.007491080781868687,1.0654794182937959,0.07388753155655002,0.010526315789473684,0.9200317634132353,0.09473684210526316,0.04819459620121394,1.427108283484754
EASTMONEY,2403,True,457,0.023634139624958066,1.1771586631938038,0.12958390037205142,0.021052631578947368,0.9636008794942534,0.06315789473684211,0.944742599419435,4.390913817512789
ETHUSD,2975,False,572,0.03582814328058387,1.006372809169197,0.05334871011222473,0.010526315789473684,0.840478524623251,0.05263157894736842,0.37419265190057727,2.7275611716210997
EURUSD,2602,False,497,0.004215291441457814,1.0222709384210127,0.06582183646848977,0.010526315789473684,0.6307970901909535,0.06315789473684211,0.018725962192959113,1.6852971097435554
GOLDETF,2408,True,458,0.00890693250854871,1.1092157292899258,0.0908611774456738,0.010526315789473684,1.3431438135716285,0.18947368421052632,-0.38956237052125237,2.569016316780717
GREE,2251,True,427,0.014095317062508024,1.0159440534748059,0.09486586229720564,0.010526315789473684,0.598980555293272,0.07368421052631578,-0.2061146710684987,3.8090368919571636
GSPC,2513,False,479,0.007994719305746061,1.0464391967882118,0.07597711672459656,0.010526315789473684,1.0714388059375923,0.15789473684210525,-0.18005119283730767,1.7600576444320004
HENGRUI,2408,True,458,0.01949798674217954,1.0353424382651237,0.08261123491336976,0.010526315789473684,0.42801532345514526,0.06315789473684211,0.6516159126340222,2.502881514162934
HIK,2405,True,458,0.015227771945890336,0.988626933970045,0.12281863336224386,0.010526315789473684,0.5393289434159038,0.042105263157894736,0.42254838559602564,2.411897824987034
ICBC,2409,True,458,0.01076740511569239,1.0510778853597784,0.06306053576800214,0.010526315789473684,0.981766934594763,0.12631578947368421,-0.3266055845966107,1.2331005994911406
