protocol_version,stage,asset,model,horizon,seed,origin,status,block_reason
phase1-v1-2026-09-19,A_calibration,BOND10Y,revin-DLinear,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,BOND10Y,DeReFusion,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,BOND10Y,revin-PatchTST,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,BOND10Y,revin-iTransformer,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,BOND10Y,revin-TimesNet,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,BONDETF,revin-DLinear,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,BONDETF,DeReFusion,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,BONDETF,revin-PatchTST,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,BONDETF,revin-iTransformer,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,BONDETF,revin-TimesNet,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,CITICSEC,revin-DLinear,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,CITICSEC,DeReFusion,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,CITICSEC,revin-PatchTST,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,CITICSEC,revin-iTransformer,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,A_calibration,CITICSEC,revin-TimesNet,24,2021,legacy-fixed,planned,
