protocol_version,stage,asset,model,horizon,seed,origin,status,block_reason
phase1-v1-2026-09-19,B_screen,AAPL,revin-DLinear,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AAPL,revin-DLinear,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AAPL,DeReFusion,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AAPL,DeReFusion,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AAPL,revin-PatchTST,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AAPL,revin-PatchTST,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AAPL,revin-iTransformer,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AAPL,revin-iTransformer,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AAPL,revin-TimesNet,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AAPL,revin-TimesNet,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AMZN,revin-DLinear,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AMZN,revin-DLinear,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AMZN,DeReFusion,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AMZN,DeReFusion,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AMZN,revin-PatchTST,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AMZN,revin-PatchTST,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AMZN,revin-iTransformer,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AMZN,revin-iTransformer,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AMZN,revin-TimesNet,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AMZN,revin-TimesNet,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AUDUSD,revin-DLinear,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AUDUSD,revin-DLinear,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AUDUSD,DeReFusion,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AUDUSD,DeReFusion,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AUDUSD,revin-PatchTST,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AUDUSD,revin-PatchTST,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AUDUSD,revin-iTransformer,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AUDUSD,revin-iTransformer,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AUDUSD,revin-TimesNet,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,AUDUSD,revin-TimesNet,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BABA,revin-DLinear,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BABA,revin-DLinear,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BABA,DeReFusion,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BABA,DeReFusion,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BABA,revin-PatchTST,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BABA,revin-PatchTST,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BABA,revin-iTransformer,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BABA,revin-iTransformer,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BABA,revin-TimesNet,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BABA,revin-TimesNet,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BTCUSD,revin-DLinear,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BTCUSD,revin-DLinear,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BTCUSD,DeReFusion,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BTCUSD,DeReFusion,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BTCUSD,revin-PatchTST,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BTCUSD,revin-PatchTST,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BTCUSD,revin-iTransformer,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BTCUSD,revin-iTransformer,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BTCUSD,revin-TimesNet,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,BTCUSD,revin-TimesNet,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,DJI,revin-DLinear,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,DJI,revin-DLinear,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,DJI,DeReFusion,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,DJI,DeReFusion,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,DJI,revin-PatchTST,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,DJI,revin-PatchTST,24,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,DJI,revin-iTransformer,1,2021,legacy-fixed,planned,
phase1-v1-2026-09-19,B_screen,DJI,revin-iTransformer,24,2021,legacy-fixed,planned,
