protocol_version,stage,asset,model,horizon,seed,origin,status,block_reason
phase1-v1-2026-09-19,C_confirmation,AAPL,revin-DLinear,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,revin-DLinear,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,revin-DLinear,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,revin-DLinear,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,revin-DLinear,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,revin-DLinear,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,DeReFusion,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,DeReFusion,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,DeReFusion,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,DeReFusion,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,DeReFusion,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AAPL,DeReFusion,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,revin-DLinear,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,revin-DLinear,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,revin-DLinear,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,revin-DLinear,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,revin-DLinear,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,revin-DLinear,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,DeReFusion,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,DeReFusion,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,DeReFusion,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,DeReFusion,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,DeReFusion,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AMZN,DeReFusion,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,revin-DLinear,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,revin-DLinear,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,revin-DLinear,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,revin-DLinear,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,revin-DLinear,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,revin-DLinear,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,DeReFusion,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,DeReFusion,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,DeReFusion,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,DeReFusion,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,DeReFusion,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,AUDUSD,DeReFusion,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,revin-DLinear,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,revin-DLinear,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,revin-DLinear,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,revin-DLinear,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,revin-DLinear,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,revin-DLinear,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,DeReFusion,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,DeReFusion,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,DeReFusion,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,DeReFusion,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,DeReFusion,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BABA,DeReFusion,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,revin-DLinear,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,revin-DLinear,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,revin-DLinear,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,revin-DLinear,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,revin-DLinear,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,revin-DLinear,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,DeReFusion,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,DeReFusion,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,DeReFusion,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,DeReFusion,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,DeReFusion,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,BTCUSD,DeReFusion,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,revin-DLinear,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,revin-DLinear,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,revin-DLinear,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,revin-DLinear,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,revin-DLinear,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,revin-DLinear,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,DeReFusion,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,DeReFusion,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,DeReFusion,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,DeReFusion,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,DeReFusion,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,DJI,DeReFusion,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,revin-DLinear,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,revin-DLinear,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,revin-DLinear,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,revin-DLinear,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,revin-DLinear,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,revin-DLinear,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,DeReFusion,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,DeReFusion,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,DeReFusion,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,DeReFusion,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,DeReFusion,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,ETHUSD,DeReFusion,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,revin-DLinear,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,revin-DLinear,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,revin-DLinear,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,revin-DLinear,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,revin-DLinear,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,revin-DLinear,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,DeReFusion,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,DeReFusion,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,DeReFusion,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,DeReFusion,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,DeReFusion,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,EURUSD,DeReFusion,24,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,FTSE,revin-DLinear,1,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,FTSE,revin-DLinear,1,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,FTSE,revin-DLinear,1,2024,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,FTSE,revin-DLinear,24,2022,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,FTSE,revin-DLinear,24,2023,legacy-fixed,planned,
phase1-v1-2026-09-19,C_confirmation,FTSE,revin-DLinear,24,2024,legacy-fixed,planned,
