asset,state,n,MSE_L,MSE_N,dMSE_mean,dMSE_sd,dMSE_min,dMSE_max,sig_seeds,winN
BTCUSD,acf1_hi,286.0,0.2781499922275543,0.40676883856455487,0.12861885875463486,0.06365777706218391,0.08088261634111404,0.20089411735534668,3,0.2692307692307692
BTCUSD,acf1_lo,421.0,0.23683611551920572,0.4069237808386485,0.17008764296770096,0.0772823650307691,0.12399531155824661,0.25930923223495483,3,0.23673792557403006
BTCUSD,jump_ratio_hi,21.0,0.46024325489997864,0.907921294371287,0.44767812887827557,0.15086733235251826,0.3426292836666107,0.6205541491508484,3,0.0
BTCUSD,jump_ratio_lo,686.0,0.24722127616405487,0.39152252674102783,0.14430123567581177,0.0692204629091134,0.09818890690803528,0.22389687597751617,3,0.2575315840621963
BTCUSD,kmeans_0,116.0,0.2654411345720291,0.45051926374435425,0.18507811923821768,0.025172603438574418,0.15910889208316803,0.2093702256679535,3,0.19540229885057472
BTCUSD,kmeans_2,591.0,0.25121443967024487,0.3982919752597809,0.14707753558953604,0.08129914596035212,0.09623996168375015,0.2408425509929657,3,0.26057529610829105
BTCUSD,rv_rel_hi,362.0,0.2737996280193329,0.422452171643575,0.14865253865718842,0.07287488267146959,0.10381466895341873,0.23273931443691254,3,0.23572744014732963
BTCUSD,rv_rel_lo,325.0,0.24515525996685028,0.4132036070028941,0.16804833461840948,0.0742608277185775,0.1165674552321434,0.2531769871711731,3,0.24307692307692308
BTCUSD,sign_persistence_hi,182.0,0.270925909280777,0.41422860821088153,0.14330270886421204,0.037861424887321485,0.11861371248960495,0.18689344823360443,3,0.29120879120879123
BTCUSD,sign_persistence_lo,525.0,0.24752454459667206,0.4043070276578267,0.1567824681599935,0.08340789318634492,0.10036852210760117,0.2525910437107086,3,0.23555555555555555
BTCUSD,structure_strong,284.0,0.25661690533161163,0.3903002043565114,0.1336832915743192,0.04913016931289922,0.10507120192050934,0.1904132068157196,3,0.2852112676056338
BTCUSD,structure_weak,423.0,0.25148865083853406,0.41798000534375507,0.16649133215347925,0.0867216669377907,0.10755137354135513,0.26606985926628113,3,0.22616233254531126
ETHUSD,acf1_hi,390.0,0.17582259078820547,0.18812945981820425,0.012306865537539124,0.010259629466227271,0.000642354367300868,0.019931990653276443,2,0.547008547008547
ETHUSD,acf1_lo,182.0,0.13542030254999796,0.1395990252494812,0.004178728287418683,0.009767088593500365,-0.006581180728971958,0.012485163286328316,3,0.4816849816849817
ETHUSD,jump_ratio_hi,285.0,0.165414164463679,0.1632965455452601,-0.0021176224884887538,0.009353608485979471,-0.009597979485988617,0.008369643241167068,3,0.5122807017543859
ETHUSD,jump_ratio_lo,287.0,0.16053752104441324,0.18201392889022827,0.02147640660405159,0.01342107768382912,0.0062305498868227005,0.031507283449172974,2,0.5400696864111498
ETHUSD,kmeans_0,180.0,0.17890568574269614,0.21798809369405112,0.03908239180843035,0.012601318797715626,0.024697642773389816,0.048172786831855774,3,0.3314814814814815
ETHUSD,kmeans_1,392.0,0.1556486835082372,0.1518868754307429,-0.00376179659118255,0.00954167181426081,-0.013757224194705486,0.005249901674687862,2,0.6156462585034014
ETHUSD,rv_rel_hi,364.0,0.14779295027256012,0.13927985231081644,-0.008513086708262563,0.009637480327479207,-0.016733389347791672,0.0020932939369231462,2,0.6043956043956044
ETHUSD,rv_rel_lo,188.0,0.18864072362581888,0.22971068819363913,0.041069955875476204,0.015352121183481452,0.024373341351747513,0.05457625910639763,3,0.4131205673758865
ETHUSD,sign_persistence_hi,124.0,0.152500847975413,0.20452978213628134,0.05202894036968549,0.0176930193532451,0.0344393365085125,0.06982359290122986,3,0.3387096774193548
ETHUSD,sign_persistence_lo,448.0,0.16586429377396902,0.16387459635734558,-0.0019896940793842077,0.009869569029208264,-0.01164672989398241,0.008079495280981064,2,0.578125
ETHUSD,structure_strong,278.0,0.16602671643098196,0.19931863248348236,0.03329190922280153,0.014444152518712434,0.016947461292147636,0.044341251254081726,3,0.40047961630695444
ETHUSD,structure_weak,294.0,0.16007440785566965,0.1475065896908442,-0.012567836713666717,0.009011882598296097,-0.019247107207775116,-0.002317735692486167,2,0.645124716553288
GSPC,acf1_hi,303.0,0.08514234175284703,0.13191880782445273,0.04677646110455195,0.02104344337094524,0.023647408932447433,0.06479170173406601,3,0.1397139713971397
GSPC,acf1_lo,176.0,0.14062287906805673,0.22168636818726858,0.08106349408626556,0.053606617034157686,0.01945178210735321,0.11703336983919144,3,0.14583333333333334
GSPC,jump_ratio_hi,150.0,0.1544986367225647,0.21535529692967734,0.0608566589653492,0.031846857807223614,0.024201471358537674,0.08173773437738419,3,0.22444444444444445
GSPC,jump_ratio_lo,329.0,0.08320048948129018,0.14189940939346948,0.05869892363746961,0.03338057500022744,0.02115033194422722,0.08501246571540833,3,0.10435663627152987
GSPC,kmeans_1,207.0,0.12553277611732483,0.1899296591679255,0.06439687497913837,0.03724744897831571,0.02155875228345394,0.0891391709446907,3,0.17552334943639292
GSPC,kmeans_2,264.0,0.08885513991117477,0.14631836116313934,0.05746321318050226,0.030081536901076154,0.024069232866168022,0.08243851363658905,3,0.10606060606060606
GSPC,rv_rel_hi,288.0,0.13156009713808695,0.19099184374014536,0.05943175591528416,0.029166252783935708,0.02630334161221981,0.08124490827322006,3,0.16203703703703703
GSPC,rv_rel_lo,171.0,0.05976753681898117,0.11745841304461162,0.057690881192684174,0.040937254752565905,0.01115206629037857,0.0881340503692627,3,0.12475633528265107
GSPC,sign_persistence_hi,331.0,0.08038592835267384,0.1455122952659925,0.06512636380891006,0.04322303388018075,0.01597532443702221,0.09720935672521591,3,0.1067472306143001
GSPC,sign_persistence_lo,148.0,0.1617568482955297,0.20826778809229532,0.04651093358794848,0.009608163116708111,0.035816535353660583,0.05441531538963318,3,0.22072072072072071
GSPC,structure_strong,212.0,0.07044751693805058,0.13489727675914764,0.0644497557853659,0.04499734413606259,0.013399596326053143,0.09835170209407806,3,0.08962264150943396
GSPC,structure_weak,267.0,0.13338157534599304,0.18872650464375815,0.0553449292977651,0.02316026196111644,0.029018595814704895,0.07258128374814987,3,0.18352059925093633
